stemming,negation
dedy pram pasti prabowo anies nggak punya prestasi,"['dedy', 'pram', 'pasti', 'prabowo', 'anies', 'nggak', 'punya', 'prestasi']"
suasana desa memang selalu senang udara segar dengan rimbun tumbuh hijau sungai jernih penuh ikan ikan kecil sampai besar yg tarik angin dieng yg gaco adidas semalem bukan ordal anies,"['suasana', 'desa', 'memang', 'selalu', 'senang', 'udara', 'segar', 'dengan', 'rimbun', 'tumbuh', 'hijau', 'sungai', 'jernih', 'penuh', 'ikan', 'ikan', 'kecil', 'sampai', 'besar', 'yg', 'tarik', 'angin', 'dieng', 'yg', 'gaco', 'adidas', 'semalem', 'tidak_ordal', 'anies']"
program anies hanya ubah nama rumah sakit se indonesia wkwk jungkook is coming olivia gaco daesang bangtan debut karina wonbin batter up views,"['program', 'anies', 'hanya', 'ubah', 'nama', 'rumah', 'sakit', 'se', 'indonesia', 'wkwk', 'jungkook', 'is', 'coming', 'olivia', 'gaco', 'daesang', 'bangtan', 'debut', 'karina', 'wonbin', 'batter', 'up', 'views']"
kumpar aniesbaswedan anies bohong dan nipu tanpa rasa salah,"['kumpar', 'aniesbaswedan', 'anies', 'bohong', 'dan', 'nipu', 'tanpa', 'rasa', 'salah']"
tidak bicara sesuai fakta anies dengan lantang sebut lampung tidak punya alat pantau polusi udara gaco anies gempa daesang pagi batter up views pilih baik,"['tidak_bicara', 'sesuai', 'fakta', 'anies', 'dengan', 'lantang', 'sebut', 'lampung', 'tidak_punya', 'alat', 'pantau', 'polusi', 'udara', 'gaco', 'anies', 'gempa', 'daesang', 'pagi', 'batter', 'up', 'views', 'pilih', 'baik']"
prabowo sindir anies baswedan apbd paling besar tapi kok mas anies gagal pimpin jakarta gaco anies gempa daesang pagi batter up views pilih baik,"['prabowo', 'sindir', 'anies', 'baswedan', 'apbd', 'paling', 'besar', 'tapi', 'kok', 'mas', 'anies', 'gagal', 'pimpin', 'jakarta', 'gaco', 'anies', 'gempa', 'daesang', 'pagi', 'batter', 'up', 'views', 'pilih', 'baik']"
hasyimmah alesan harus jelas dan pak anies sudah jelas jelas jelas nya masih engga paham dungu arti,"['hasyimmah', 'alesan', 'harus', 'jelas', 'dan', 'pak', 'anies', 'sudah', 'jelas', 'jelas', 'jelas', 'nya', 'masih', 'engga', 'paham', 'dungu', 'arti']"
brochandra ainunnajib wow mantap sekali apakah ini arti bro anies akan jadi presiden ri,"['brochandra', 'ainunnajib', 'wow', 'mantap', 'sekali', 'apakah', 'ini', 'arti', 'bro', 'anies', 'akan', 'jadi', 'presiden', 'ri']"
ajengcute saya dulu ajar majas kelas smp saya paham apa yang bilang pak anies kalo yang ga paham mungkin belum kenyam kelas,"['ajengcute', 'saya', 'dulu', 'ajar', 'majas', 'kelas', 'smp', 'saya', 'paham', 'apa', 'yang', 'bilang', 'pak', 'anies', 'kalo', 'yang', 'tidak_paham', 'mungkin', 'belum', 'kenyam', 'kelas']"
tvonenews kasi kiki padahal itu fakta memang si anies jago kata kata saja demi tarik simpati padahal implementasi jamin nol cth waktu jd tri dan gubernur aja kerja nya standar banget,"['tvonenews', 'kasi', 'kiki', 'padahal', 'itu', 'fakta', 'memang', 'si', 'anies', 'jago', 'kata', 'kata', 'saja', 'demi', 'tarik', 'simpati', 'padahal', 'implementasi', 'jamin', 'nol', 'cth', 'waktu', 'jd', 'tri', 'dan', 'gubernur', 'aja', 'kerja', 'nya', 'standar', 'banget']"
strike bravo anak anies cakep bener dua anak capres yang muka ga tengil,"['strike', 'bravo', 'anak', 'anies', 'cakep', 'bener', 'dua', 'anak', 'capres', 'yang', 'muka', 'tidak_tengil']"
detikcom partai yg dukung pak anies juga tdk tahan jadi oposisi nasdem dan pkb tuh msh ada yg jabat tri dan imin msh jabat wakil ketua dprri nampaknya betah banget dgn kuasa mundur dong,"['detikcom', 'partai', 'yg', 'dukung', 'pak', 'anies', 'juga', 'tdk', 'tahan', 'jadi', 'oposisi', 'nasdem', 'dan', 'pkb', 'tuh', 'msh', 'ada', 'yg', 'jabat', 'tri', 'dan', 'imin', 'msh', 'jabat', 'wakil', 'ketua', 'dprri', 'nampaknya', 'betah', 'banget', 'dgn', 'kuasa', 'mundur', 'dong']"
blakcrws ciro abu mahdzuroh lah dia juga dulu dukung prabowo yg lebih liberal dari anies hrs itu lebih ke anti jokowi pdip sejak kasus ahok,"['blakcrws', 'ciro', 'abu', 'mahdzuroh', 'lah', 'dia', 'juga', 'dulu', 'dukung', 'prabowo', 'yg', 'lebih', 'liberal', 'dari', 'anies', 'hrs', 'itu', 'lebih', 'ke', 'anti', 'jokowi', 'pdip', 'sejak', 'kasus', 'ahok']"
zenrs asli rada hoream euy ceunah bebas dapat sugan teh geus balik deui jadi anies era nurcholis madjid memorial lecture,"['zenrs', 'asli', 'rada', 'hoream', 'euy', 'ceunah', 'bebas', 'dapat', 'sugan', 'teh', 'geus', 'balik', 'deui', 'jadi', 'anies', 'era', 'nurcholis', 'madjid', 'memorial', 'lecture']"
tidak bicara sesuai fakta anies dengan lantang sebut lampung tidak punya alat pantau polusi udara gaco anies gempa daesang pagi batter up views pilih baik,"['tidak_bicara', 'sesuai', 'fakta', 'anies', 'dengan', 'lantang', 'sebut', 'lampung', 'tidak_punya', 'alat', 'pantau', 'polusi', 'udara', 'gaco', 'anies', 'gempa', 'daesang', 'pagi', 'batter', 'up', 'views', 'pilih', 'baik']"
prabowo sindir anies baswedan apbd paling besar tapi kok mas anies gagal pimpin jakarta gaco anies gempa daesang pagi batter up views pilih baik,"['prabowo', 'sindir', 'anies', 'baswedan', 'apbd', 'paling', 'besar', 'tapi', 'kok', 'mas', 'anies', 'gagal', 'pimpin', 'jakarta', 'gaco', 'anies', 'gempa', 'daesang', 'pagi', 'batter', 'up', 'views', 'pilih', 'baik']"
itu yang bilang anies modal kata doang tapi pacar di eco park tebet musuhin aja,"['itu', 'yang', 'bilang', 'anies', 'modal', 'kata', 'doang', 'tapi', 'pacar', 'di', 'eco', 'park', 'tebet', 'musuhin', 'aja']"
imanlagi tapi sayang banyak msh dukung anies yg dateng mas baru yg di lampung kemaren berani bgt tapi ya mereka juga kayak bisa bilang takut sih kalo hadepan lgsg buat desak anies wkwk,"['imanlagi', 'tapi', 'sayang', 'banyak', 'msh', 'dukung', 'anies', 'yg', 'dateng', 'mas', 'baru', 'yg', 'di', 'lampung', 'kemaren', 'berani', 'bgt', 'tapi', 'ya', 'mereka', 'juga', 'kayak', 'bisa', 'bilang', 'takut', 'sih', 'kalo', 'hadepan', 'lgsg', 'buat', 'desak', 'anies', 'wkwk']"
nur jansen jsp pdemokrat anies dan pks,"['nur', 'jansen', 'jsp', 'pdemokrat', 'anies', 'dan', 'pks']"
gerindra bantah soal anies bilang prabowo bisnis macet gegara jadi oposisi,"['gerindra', 'bantah', 'soal', 'anies', 'bilang', 'prabowo', 'bisnis', 'macet', 'gegara', 'jadi', 'oposisi']"
