negation,formalization
"['dedy', 'pram', 'pasti', 'prabowo', 'anies', 'nggak', 'punya', 'prestasi']","['dedy', 'pram', 'pasti', 'prabowo', 'anies', 'tidak', 'punya', 'prestasi']"
"['suasana', 'desa', 'memang', 'selalu', 'senang', 'udara', 'segar', 'dengan', 'rimbun', 'tumbuh', 'hijau', 'sungai', 'jernih', 'penuh', 'ikan', 'ikan', 'kecil', 'sampai', 'besar', 'yg', 'tarik', 'angin', 'dieng', 'yg', 'gaco', 'adidas', 'semalem', 'tidak_ordal', 'anies']","['suasana', 'desa', 'memang', 'selalu', 'senang', 'udara', 'segar', 'dengan', 'rimbun', 'tumbuh', 'hijau', 'sungai', 'jernih', 'penuh', 'ikan', 'ikan', 'kecil', 'sampai', 'besar', 'yang', 'tarik', 'angin', 'dieng', 'yang', 'gaco', 'adidas', 'malam', 'tidak_ordal', 'anies']"
"['program', 'anies', 'hanya', 'ubah', 'nama', 'rumah', 'sakit', 'se', 'indonesia', 'wkwk', 'jungkook', 'is', 'coming', 'olivia', 'gaco', 'daesang', 'bangtan', 'debut', 'karina', 'wonbin', 'batter', 'up', 'views']","['program', 'anies', 'hanya', 'ubah', 'nama', 'rumah', 'sakit', 'se', 'indonesia', 'tertawa', 'jungkook', 'is', 'coming', 'olivia', 'gaco', 'daesang', 'bangtan', 'debut', 'karina', 'wonbin', 'batter', 'up', 'views']"
"['kumpar', 'aniesbaswedan', 'anies', 'bohong', 'dan', 'nipu', 'tanpa', 'rasa', 'salah']","['kumpar', 'aniesbaswedan', 'anies', 'bohong', 'dan', 'tipu', 'tanpa', 'rasa', 'salah']"
"['tidak_bicara', 'sesuai', 'fakta', 'anies', 'dengan', 'lantang', 'sebut', 'lampung', 'tidak_punya', 'alat', 'pantau', 'polusi', 'udara', 'gaco', 'anies', 'gempa', 'daesang', 'pagi', 'batter', 'up', 'views', 'pilih', 'baik']","['tidak_bicara', 'sesuai', 'fakta', 'anies', 'dengan', 'lantang', 'sebut', 'lampung', 'tidak_punya', 'alat', 'pantau', 'polusi', 'udara', 'gaco', 'anies', 'gempa', 'daesang', 'pagi', 'batter', 'up', 'views', 'pilih', 'baik']"
"['prabowo', 'sindir', 'anies', 'baswedan', 'apbd', 'paling', 'besar', 'tapi', 'kok', 'mas', 'anies', 'gagal', 'pimpin', 'jakarta', 'gaco', 'anies', 'gempa', 'daesang', 'pagi', 'batter', 'up', 'views', 'pilih', 'baik']","['prabowo', 'sindir', 'anies', 'baswedan', 'anggaran pendapatan dan belanja daerah', 'paling', 'besar', 'tapi', 'kok', 'mas', 'anies', 'gagal', 'pimpin', 'jakarta', 'gaco', 'anies', 'gempa', 'daesang', 'pagi', 'batter', 'up', 'views', 'pilih', 'baik']"
"['hasyimmah', 'alesan', 'harus', 'jelas', 'dan', 'pak', 'anies', 'sudah', 'jelas', 'jelas', 'jelas', 'nya', 'masih', 'engga', 'paham', 'dungu', 'arti']","['hasyimmah', 'alasan', 'harus', 'jelas', 'dan', 'pak', 'anies', 'sudah', 'jelas', 'jelas', 'jelas', 'nya', 'masih', 'engga', 'paham', 'dungu', 'arti']"
"['brochandra', 'ainunnajib', 'wow', 'mantap', 'sekali', 'apakah', 'ini', 'arti', 'bro', 'anies', 'akan', 'jadi', 'presiden', 'ri']","['brochandra', 'ainunnajib', 'wow', 'mantap', 'sekali', 'apakah', 'ini', 'arti', 'saudara laki laki', 'anies', 'akan', 'jadi', 'presiden', 'ri']"
"['ajengcute', 'saya', 'dulu', 'ajar', 'majas', 'kelas', 'smp', 'saya', 'paham', 'apa', 'yang', 'bilang', 'pak', 'anies', 'kalo', 'yang', 'tidak_paham', 'mungkin', 'belum', 'kenyam', 'kelas']","['ajengcute', 'saya', 'dulu', 'ajar', 'majas', 'kelas', 'smp', 'saya', 'paham', 'apa', 'yang', 'bilang', 'pak', 'anies', 'kalau', 'yang', 'tidak_paham', 'mungkin', 'belum', 'kenyam', 'kelas']"
"['tvonenews', 'kasi', 'kiki', 'padahal', 'itu', 'fakta', 'memang', 'si', 'anies', 'jago', 'kata', 'kata', 'saja', 'demi', 'tarik', 'simpati', 'padahal', 'implementasi', 'jamin', 'nol', 'cth', 'waktu', 'jd', 'tri', 'dan', 'gubernur', 'aja', 'kerja', 'nya', 'standar', 'banget']","['tvonenews', 'kasih', 'kiki', 'padahal', 'itu', 'fakta', 'memang', 'si', 'anies', 'jago', 'kata', 'kata', 'saja', 'demi', 'tarik', 'simpati', 'padahal', 'implementasi', 'jamin', 'nol', 'cth', 'waktu', 'jadi', 'tri', 'dan', 'gubernur', 'saja', 'kerja', 'nya', 'standar', 'banget']"
"['strike', 'bravo', 'anak', 'anies', 'cakep', 'bener', 'dua', 'anak', 'capres', 'yang', 'muka', 'tidak_tengil']","['strike', 'bravo', 'anak', 'anies', 'cakep', 'benar', 'dua', 'anak', 'capres', 'yang', 'muka', 'tidak_menyebalkan']"
"['detikcom', 'partai', 'yg', 'dukung', 'pak', 'anies', 'juga', 'tdk', 'tahan', 'jadi', 'oposisi', 'nasdem', 'dan', 'pkb', 'tuh', 'msh', 'ada', 'yg', 'jabat', 'tri', 'dan', 'imin', 'msh', 'jabat', 'wakil', 'ketua', 'dprri', 'nampaknya', 'betah', 'banget', 'dgn', 'kuasa', 'mundur', 'dong']","['detikcom', 'partai', 'yang', 'dukung', 'pak', 'anies', 'juga', 'tidak', 'tahan', 'jadi', 'oposisi', 'nasdem', 'dan', 'pkb', 'tuh', 'masih', 'ada', 'yang', 'jabat', 'tri', 'dan', 'imin', 'masih', 'jabat', 'wakil', 'ketua', 'dprri', 'nampaknya', 'betah', 'banget', 'dengan', 'kuasa', 'mundur', 'dong']"
"['blakcrws', 'ciro', 'abu', 'mahdzuroh', 'lah', 'dia', 'juga', 'dulu', 'dukung', 'prabowo', 'yg', 'lebih', 'liberal', 'dari', 'anies', 'hrs', 'itu', 'lebih', 'ke', 'anti', 'jokowi', 'pdip', 'sejak', 'kasus', 'ahok']","['blakcrws', 'ciro', 'abu', 'mahdzuroh', 'lah', 'dia', 'juga', 'dulu', 'dukung', 'prabowo', 'yang', 'lebih', 'liberal', 'dari', 'anies', 'harus', 'itu', 'lebih', 'ke', 'anti', 'jokowi', 'pdip', 'sejak', 'kasus', 'ahok']"
"['zenrs', 'asli', 'rada', 'hoream', 'euy', 'ceunah', 'bebas', 'dapat', 'sugan', 'teh', 'geus', 'balik', 'deui', 'jadi', 'anies', 'era', 'nurcholis', 'madjid', 'memorial', 'lecture']","['zenrs', 'asli', 'rada', 'hoream', 'euy', 'ceunah', 'bebas', 'dapat', 'sugan', 'kakak perempuan', 'geus', 'balik', 'deui', 'jadi', 'anies', 'era', 'nurcholis', 'madjid', 'memorial', 'lecture']"
