tokenizing,stemming
"['dedy', 'pram', 'pastilah', 'prabowo', 'anies', 'nggak', 'punya', 'prestasi']",dedy pram pasti prabowo anies nggak punya prestasi
"['suasana', 'pedesaan', 'memang', 'selalu', 'menyenangkan', 'udara', 'segar', 'dengan', 'rimbunnya', 'tumbuhan', 'hijau', 'sungai', 'jernih', 'penuh', 'ikan', 'ikan', 'kecil', 'sampai', 'besar', 'yg', 'menarik', 'angin', 'dieng', 'yg', 'gacoan', 'adidas', 'semalem', 'bukan', 'ordal', 'anies']",suasana desa memang selalu senang udara segar dengan rimbun tumbuh hijau sungai jernih penuh ikan ikan kecil sampai besar yg tarik angin dieng yg gaco adidas semalem bukan ordal anies
"['program', 'anies', 'hanyalah', 'mengubah', 'nama', 'rumah', 'sakit', 'se', 'indonesia', 'wkwk', 'jungkook', 'is', 'coming', 'olivia', 'gacoan', 'daesang', 'bangtan', 'debut', 'karina', 'wonbin', 'batter', 'up', 'views']",program anies hanya ubah nama rumah sakit se indonesia wkwk jungkook is coming olivia gaco daesang bangtan debut karina wonbin batter up views
"['kumparan', 'aniesbaswedan', 'anies', 'berbohong', 'dan', 'nipu', 'tanpa', 'rasa', 'bersalah']",kumpar aniesbaswedan anies bohong dan nipu tanpa rasa salah
"['tidak', 'bicara', 'sesuai', 'fakta', 'anies', 'dengan', 'lantang', 'sebut', 'lampung', 'tidak', 'mempunyai', 'alat', 'pemantau', 'polusi', 'udara', 'gacoan', 'anies', 'gempa', 'daesang', 'pagii', 'batter', 'up', 'views', 'pilihan', 'terbaik']",tidak bicara sesuai fakta anies dengan lantang sebut lampung tidak punya alat pantau polusi udara gaco anies gempa daesang pagi batter up views pilih baik
"['prabowo', 'sindir', 'anies', 'baswedan', 'apbd', 'paling', 'besar', 'tapi', 'kok', 'mas', 'anies', 'gagal', 'memimpin', 'jakarta', 'gacoan', 'anies', 'gempa', 'daesang', 'pagii', 'batter', 'up', 'views', 'pilihan', 'terbaik']",prabowo sindir anies baswedan apbd paling besar tapi kok mas anies gagal pimpin jakarta gaco anies gempa daesang pagi batter up views pilih baik
"['hasyimmah', 'alesan', 'harus', 'jelas', 'dan', 'pak', 'anies', 'sudah', 'menjelaskan', 'sejelas', 'jelas', 'nya', 'masih', 'engga', 'paham', 'dungu', 'berarti']",hasyimmah alesan harus jelas dan pak anies sudah jelas jelas jelas nya masih engga paham dungu arti
"['brochandra', 'ainunnajib', 'wow', 'mantap', 'sekali', 'apakah', 'ini', 'artinya', 'bro', 'anies', 'akan', 'menjadi', 'presiden', 'ri']",brochandra ainunnajib wow mantap sekali apakah ini arti bro anies akan jadi presiden ri
"['ajengcute', 'saya', 'dulu', 'belajar', 'majas', 'kelas', 'smp', 'saya', 'paham', 'apa', 'yang', 'dibilang', 'pak', 'anies', 'kalo', 'yang', 'ga', 'paham', 'mungkin', 'belum', 'mengenyam', 'kelas']",ajengcute saya dulu ajar majas kelas smp saya paham apa yang bilang pak anies kalo yang ga paham mungkin belum kenyam kelas
"['tvonenews', 'kasian', 'kiki', 'padahal', 'itu', 'fakta', 'memang', 'si', 'anies', 'jago', 'berkata', 'kata', 'saja', 'demi', 'menarik', 'simpati', 'padahal', 'implementasinya', 'dijamin', 'nol', 'cth', 'waktu', 'jd', 'mentri', 'dan', 'gubernur', 'aja', 'kerja', 'nya', 'standar', 'banget']",tvonenews kasi kiki padahal itu fakta memang si anies jago kata kata saja demi tarik simpati padahal implementasi jamin nol cth waktu jd tri dan gubernur aja kerja nya standar banget
"['strike', 'bravo', 'anaknya', 'anies', 'cakep', 'bener', 'dua', 'anak', 'capres', 'yang', 'mukanya', 'ga', 'tengil']",strike bravo anak anies cakep bener dua anak capres yang muka ga tengil
"['detikcom', 'partai', 'yg', 'mendukung', 'pak', 'anies', 'juga', 'tdk', 'tahan', 'menjadi', 'oposisi', 'nasdem', 'dan', 'pkb', 'tuh', 'msh', 'ada', 'yg', 'jabat', 'mentri', 'dan', 'imin', 'msh', 'jabat', 'wakil', 'ketua', 'dprri', 'nampaknya', 'betah', 'banget', 'dgn', 'kekuasaan', 'mundur', 'dong']",detikcom partai yg dukung pak anies juga tdk tahan jadi oposisi nasdem dan pkb tuh msh ada yg jabat tri dan imin msh jabat wakil ketua dprri nampaknya betah banget dgn kuasa mundur dong
"['blakcrws', 'ciro', 'abu', 'mahdzuroh', 'lah', 'dia', 'juga', 'dulu', 'dukung', 'prabowo', 'yg', 'lebih', 'liberal', 'dari', 'anies', 'hrs', 'itu', 'lebih', 'ke', 'anti', 'jokowi', 'pdip', 'sejak', 'kasus', 'ahok']",blakcrws ciro abu mahdzuroh lah dia juga dulu dukung prabowo yg lebih liberal dari anies hrs itu lebih ke anti jokowi pdip sejak kasus ahok
"['zenrs', 'asli', 'rada', 'hoream', 'euy', 'ceunah', 'kebebasan', 'berpendapat', 'sugan', 'teh', 'geus', 'balik', 'deui', 'jadi', 'anies', 'era', 'nurcholis', 'madjid', 'memorial', 'lecture']",zenrs asli rada hoream euy ceunah bebas dapat sugan teh geus balik deui jadi anies era nurcholis madjid memorial lecture
