formalization,stopword_removal
"['dedy', 'pram', 'pasti', 'prabowo', 'anies', 'tidak', 'punya', 'prestasi']",dedy pram prabowo anies prestasi
"['suasana', 'desa', 'memang', 'selalu', 'senang', 'udara', 'segar', 'dengan', 'rimbun', 'tumbuh', 'hijau', 'sungai', 'jernih', 'penuh', 'ikan', 'ikan', 'kecil', 'sampai', 'besar', 'yang', 'tarik', 'angin', 'dieng', 'yang', 'gaco', 'adidas', 'malam', 'tidak_ordal', 'anies']",suasana desa senang udara segar rimbun tumbuh hijau sungai jernih penuh ikan ikan tarik angin dieng gaco adidas malam tidak ordal anies
"['program', 'anies', 'hanya', 'ubah', 'nama', 'rumah', 'sakit', 'se', 'indonesia', 'tertawa', 'jungkook', 'is', 'coming', 'olivia', 'gaco', 'daesang', 'bangtan', 'debut', 'karina', 'wonbin', 'batter', 'up', 'views']",program anies ubah nama rumah sakit indonesia tertawa jungkook is coming olivia gaco daesang bangtan debut karina wonbin batter up views
"['kumpar', 'aniesbaswedan', 'anies', 'bohong', 'dan', 'tipu', 'tanpa', 'rasa', 'salah']",kumpar aniesbaswedan anies bohong tipu salah
"['tidak_bicara', 'sesuai', 'fakta', 'anies', 'dengan', 'lantang', 'sebut', 'lampung', 'tidak_punya', 'alat', 'pantau', 'polusi', 'udara', 'gaco', 'anies', 'gempa', 'daesang', 'pagi', 'batter', 'up', 'views', 'pilih', 'baik']",tidak bicara sesuai fakta anies lantang lampung tidak punya alat pantau polusi udara gaco anies gempa daesang pagi batter up views pilih
"['prabowo', 'sindir', 'anies', 'baswedan', 'anggaran pendapatan dan belanja daerah', 'paling', 'besar', 'tapi', 'kok', 'mas', 'anies', 'gagal', 'pimpin', 'jakarta', 'gaco', 'anies', 'gempa', 'daesang', 'pagi', 'batter', 'up', 'views', 'pilih', 'baik']",prabowo sindir anies baswedan anggaran pendapatan dan belanja daerah mas anies gagal pimpin jakarta gaco anies gempa daesang pagi batter up views pilih
"['hasyimmah', 'alasan', 'harus', 'jelas', 'dan', 'pak', 'anies', 'sudah', 'jelas', 'jelas', 'jelas', 'nya', 'masih', 'engga', 'paham', 'dungu', 'arti']",hasyimmah alasan anies nya engga paham dungu arti
"['brochandra', 'ainunnajib', 'wow', 'mantap', 'sekali', 'apakah', 'ini', 'arti', 'saudara laki laki', 'anies', 'akan', 'jadi', 'presiden', 'ri']",brochandra ainunnajib wow mantap arti saudara laki laki anies presiden ri
"['ajengcute', 'saya', 'dulu', 'ajar', 'majas', 'kelas', 'smp', 'saya', 'paham', 'apa', 'yang', 'bilang', 'pak', 'anies', 'kalau', 'yang', 'tidak_paham', 'mungkin', 'belum', 'kenyam', 'kelas']",ajengcute ajar majas kelas smp paham bilang anies tidak paham kenyam kelas
"['tvonenews', 'kasih', 'kiki', 'padahal', 'itu', 'fakta', 'memang', 'si', 'anies', 'jago', 'kata', 'kata', 'saja', 'demi', 'tarik', 'simpati', 'padahal', 'implementasi', 'jamin', 'nol', 'cth', 'waktu', 'jadi', 'tri', 'dan', 'gubernur', 'saja', 'kerja', 'nya', 'standar', 'banget']",tvonenews kasih kiki fakta si anies jago tarik simpati implementasi jamin nol cth tri gubernur kerja nya standar banget
