case_folding,tokenizing
dedy pram pastilah  prabowo anies nggak punya prestasi,"['dedy', 'pram', 'pastilah', 'prabowo', 'anies', 'nggak', 'punya', 'prestasi']"
suasana pedesaan memang selalu menyenangkan udara segar dengan rimbunnya tumbuhan hijau sungai jernih penuh ikan ikan kecil sampai besar yg menarik angin dieng yg gacoan adidas semalem bukan ordal anies,"['suasana', 'pedesaan', 'memang', 'selalu', 'menyenangkan', 'udara', 'segar', 'dengan', 'rimbunnya', 'tumbuhan', 'hijau', 'sungai', 'jernih', 'penuh', 'ikan', 'ikan', 'kecil', 'sampai', 'besar', 'yg', 'menarik', 'angin', 'dieng', 'yg', 'gacoan', 'adidas', 'semalem', 'bukan', 'ordal', 'anies']"
program anies hanyalah mengubah nama rumah sakit se indonesia wkwk jungkook is coming olivia gacoan daesang bangtan debut karina wonbin batter up views,"['program', 'anies', 'hanyalah', 'mengubah', 'nama', 'rumah', 'sakit', 'se', 'indonesia', 'wkwk', 'jungkook', 'is', 'coming', 'olivia', 'gacoan', 'daesang', 'bangtan', 'debut', 'karina', 'wonbin', 'batter', 'up', 'views']"
kumparan  aniesbaswedan anies berbohong dan nipu tanpa rasa bersalah,"['kumparan', 'aniesbaswedan', 'anies', 'berbohong', 'dan', 'nipu', 'tanpa', 'rasa', 'bersalah']"
tidak bicara sesuai fakta  anies dengan lantang sebut lampung tidak mempunyai alat pemantau polusi udara gacoan anies gempa daesang pagii batter up views pilihan terbaik,"['tidak', 'bicara', 'sesuai', 'fakta', 'anies', 'dengan', 'lantang', 'sebut', 'lampung', 'tidak', 'mempunyai', 'alat', 'pemantau', 'polusi', 'udara', 'gacoan', 'anies', 'gempa', 'daesang', 'pagii', 'batter', 'up', 'views', 'pilihan', 'terbaik']"
prabowo sindir anies baswedan  apbd paling besar  tapi kok mas anies gagal memimpin jakarta gacoan anies gempa daesang pagii batter up views pilihan terbaik,"['prabowo', 'sindir', 'anies', 'baswedan', 'apbd', 'paling', 'besar', 'tapi', 'kok', 'mas', 'anies', 'gagal', 'memimpin', 'jakarta', 'gacoan', 'anies', 'gempa', 'daesang', 'pagii', 'batter', 'up', 'views', 'pilihan', 'terbaik']"
hasyimmah alesan harus jelas dan pak anies sudah menjelaskan sejelas jelas nya masih engga paham dungu berarti,"['hasyimmah', 'alesan', 'harus', 'jelas', 'dan', 'pak', 'anies', 'sudah', 'menjelaskan', 'sejelas', 'jelas', 'nya', 'masih', 'engga', 'paham', 'dungu', 'berarti']"
brochandra  ainunnajib wow mantap sekali  apakah ini artinya bro anies akan menjadi presiden ri,"['brochandra', 'ainunnajib', 'wow', 'mantap', 'sekali', 'apakah', 'ini', 'artinya', 'bro', 'anies', 'akan', 'menjadi', 'presiden', 'ri']"
ajengcute saya dulu belajar majas  kelas smp saya paham apa yang dibilang pak anies  kalo yang ga paham mungkin belum mengenyam kelas,"['ajengcute', 'saya', 'dulu', 'belajar', 'majas', 'kelas', 'smp', 'saya', 'paham', 'apa', 'yang', 'dibilang', 'pak', 'anies', 'kalo', 'yang', 'ga', 'paham', 'mungkin', 'belum', 'mengenyam', 'kelas']"
tvonenews kasian kiki  padahal itu fakta  memang si anies jago berkata kata saja demi menarik simpati  padahal implementasinya dijamin nol  cth waktu jd mentri dan gubernur aja  kerja nya standar banget,"['tvonenews', 'kasian', 'kiki', 'padahal', 'itu', 'fakta', 'memang', 'si', 'anies', 'jago', 'berkata', 'kata', 'saja', 'demi', 'menarik', 'simpati', 'padahal', 'implementasinya', 'dijamin', 'nol', 'cth', 'waktu', 'jd', 'mentri', 'dan', 'gubernur', 'aja', 'kerja', 'nya', 'standar', 'banget']"
strike bravo anaknya anies cakep bener  dua anak capres yang mukanya ga tengil  ,"['strike', 'bravo', 'anaknya', 'anies', 'cakep', 'bener', 'dua', 'anak', 'capres', 'yang', 'mukanya', 'ga', 'tengil']"
