negation,formalization
"['ganjar', 'pranowo', 'dan', 'pak', 'mahfud', 'md', 'moga', 'pimpin', 'kalian', 'pancar', 'hangat', 'seperti', 'dalam', 'keluarga', 'titysl', 'gp', 'presiden']","['ganjar', 'pranowo', 'dan', 'pak', 'mahfud', 'md', 'moga', 'pimpin', 'kalian', 'pancar', 'hangat', 'seperti', 'dalam', 'keluarga', 'titysl', 'gp', 'presiden']"
"['ganjar', 'pranowo', 'gubernur', 'yang', 'bisa', 'jadi', 'inspirasi', 'dengan', 'mampu', 'satu', 'seni', 'dan', 'politik', 'bakulojek', 'gp', 'presiden']","['ganjar', 'pranowo', 'gubernur', 'yang', 'bisa', 'jadi', 'inspirasi', 'dengan', 'mampu', 'satu', 'seni', 'dan', 'politik', 'bakulojek', 'gp', 'presiden']"
"['sama', 'ganjar', 'dan', 'mahfud', 'bagai', 'tim', 'adalah', 'kunci', 'hasil', 'untuk', 'maju', 'indonesia', 'urcutebaby', 'gp', 'presiden']","['sama', 'ganjar', 'dan', 'mahfud', 'bagai', 'tim', 'adalah', 'kunci', 'hasil', 'untuk', 'maju', 'indonesia', 'urcutebaby', 'gp', 'presiden']"
"['kagum', 'betapa', 'mas', 'ganjar', 'mampu', 'jaga', 'imbang', 'antara', 'tugas', 'bagai', 'pimpin', 'dan', 'peran', 'bagai', 'kepala', 'keluarga', 'thvusergf', 'gp', 'presiden']","['kagum', 'betapa', 'mas', 'ganjar', 'mampu', 'jaga', 'imbang', 'antara', 'tugas', 'bagai', 'pimpin', 'dan', 'peran', 'bagai', 'kepala', 'keluarga', 'thvusergf', 'gp', 'presiden']"
"['moga', 'ganjar', 'pranowo', 'dan', 'mahfud', 'md', 'dapat', 'bawa', 'semangat', 'sama', 'ke', 'dalam', 'bijak', 'nasional', 'bilamuktadin', 'gp', 'presiden']","['moga', 'ganjar', 'pranowo', 'dan', 'mahfud', 'md', 'dapat', 'bawa', 'semangat', 'sama', 'ke', 'dalam', 'bijak', 'nasional', 'bilamuktadin', 'gp', 'presiden']"
"['insana', 'ntt', 'rapat', 'baris', 'dukung', 'ganjar', 'mahfud']","['insana', 'ntt', 'rapat', 'baris', 'dukung', 'ganjar', 'mahfud']"
"['sukses', 'untuk', 'mas', 'ganjar', 'pranowo', 'dan', 'pak', 'mahfud', 'md', 'moga', 'pimpin', 'mereka', 'bawa', 'indonesia', 'ke', 'puncak', 'jaya', 'taufikh', 'gp', 'presiden']","['sukses', 'untuk', 'mas', 'ganjar', 'pranowo', 'dan', 'pak', 'mahfud', 'md', 'moga', 'pimpin', 'mereka', 'bawa', 'indonesia', 'ke', 'puncak', 'jaya', 'taufikh', 'gp', 'presiden']"
"['sukses', 'selalu', 'untuk', 'mas', 'ganjar', 'pranowo', 'dan', 'pak', 'mahfud', 'md', 'mereka', 'adalah', 'tim', 'yang', 'potensi', 'bawa', 'maju', 'besar', 'untuk', 'jatim', 'stvrlight', 'gp', 'presiden']","['sukses', 'selalu', 'untuk', 'mas', 'ganjar', 'pranowo', 'dan', 'pak', 'mahfud', 'md', 'mereka', 'adalah', 'tim', 'yang', 'potensi', 'bawa', 'maju', 'besar', 'untuk', 'jatim', 'stvrlight', 'gp', 'presiden']"
"['prihati', 'utami', 'wah', 'tambah', 'tua', 'nih', 'selamat', 'ulang', 'tahun', 'bro', 'alam', 'ganjar', 'moga', 'makin', 'jadi', 'pribadi', 'yang', 'keren']","['prihati', 'utami', 'wah', 'tambah', 'tua', 'ini', 'selamat', 'ulang', 'tahun', 'saudara laki laki', 'alam', 'ganjar', 'moga', 'makin', 'jadi', 'pribadi', 'yang', 'bagus']"
"['sukses', 'ganjar', 'pranowo', 'dalam', 'canda', 'bukti', 'bahwa', 'pimpin', 'yang', 'ceria', 'juga', 'mampu', 'buat', 'putus', 'bijak', 'baiqemi', 'gp', 'presiden']","['sukses', 'ganjar', 'pranowo', 'dalam', 'canda', 'bukti', 'bahwa', 'pimpin', 'yang', 'ceria', 'juga', 'mampu', 'buat', 'putus', 'bijak', 'baiqemi', 'gp', 'presiden']"
"['jakarta', 'butuh', 'pimpin', 'seperti', 'ganjar', 'pranowo', 'yang', 'milik', 'pimpin', 'yang', 'visioner', 'dan', 'nilai', 'nilai', 'keluarga', 'yang', 'kuat', 'ebenhezzer', 'gp', 'presiden']","['jakarta', 'butuh', 'pimpin', 'seperti', 'ganjar', 'pranowo', 'yang', 'milik', 'pimpin', 'yang', 'visioner', 'dan', 'nilai', 'nilai', 'keluarga', 'yang', 'kuat', 'ebenhezzer', 'gp', 'presiden']"
"['ini', 'kenapa', 'buzzer', 'ganjar', 'pada', 'ngetag', 'gw']","['ini', 'kenapa', 'buzzer', 'ganjar', 'pada', 'ngetag', 'saya']"
"['ganjar', 'pranowo', 'dan', 'mahfud', 'md', 'dua', 'sosok', 'yang', 'milik', 'visi', 'yang', 'jalan', 'mesra', 'keluarga', 'jadi', 'nilai', 'tambah', 'dalam', 'pimpin', 'mereka', 'irvandayo', 'gp', 'presiden']","['ganjar', 'pranowo', 'dan', 'mahfud', 'md', 'dua', 'sosok', 'yang', 'milik', 'visi', 'yang', 'jalan', 'mesra', 'keluarga', 'jadi', 'nilai', 'tambah', 'dalam', 'pimpin', 'mereka', 'irvandayo', 'gp', 'presiden']"
"['makin', 'yakin', 'bahwa', 'jatim', 'akan', 'makin', 'sejahtera', 'dengan', 'pimpin', 'mas', 'ganjar', 'dan', 'pak', 'mahfud', 'md', 'keluarga', 'yang', 'solid', 'adalah', 'pondasi', 'utama', 'thoriqfajarf', 'gp', 'presiden']","['makin', 'yakin', 'bahwa', 'jatim', 'akan', 'makin', 'sejahtera', 'dengan', 'pimpin', 'mas', 'ganjar', 'dan', 'pak', 'mahfud', 'md', 'keluarga', 'yang', 'solid', 'adalah', 'pondasi', 'utama', 'thoriqfajarf', 'gp', 'presiden']"
"['ganjar', 'pranowo', 'dan', 'pak', 'mahfud', 'md', 'bawa', 'semangat', 'satu', 'keluarga', 'ke', 'seluruh', 'lapis', 'masyarakat', 'cipta', 'solidaritas', 'yang', 'kuat', 'saavxz', 'gp', 'presiden']","['ganjar', 'pranowo', 'dan', 'pak', 'mahfud', 'md', 'bawa', 'semangat', 'satu', 'keluarga', 'ke', 'seluruh', 'lapis', 'masyarakat', 'cipta', 'solidaritas', 'yang', 'kuat', 'saavxz', 'gp', 'presiden']"
"['lihat', 'video', 'keluarga', 'mas', 'ganjar', 'pranowo', 'buat', 'saya', 'makin', 'optimis', 'bahwa', 'beliau', 'adalah', 'pimpin', 'yang', 'akan', 'bawa', 'harmonis', 'ke', 'seluruh', 'penjuru', 'negeri', 'vikaachu', 'gp', 'presiden']","['lihat', 'video', 'keluarga', 'mas', 'ganjar', 'pranowo', 'buat', 'saya', 'makin', 'optimis', 'bahwa', 'beliau', 'adalah', 'pimpin', 'yang', 'akan', 'bawa', 'harmonis', 'ke', 'seluruh', 'penjuru', 'negeri', 'vikaachu', 'gp', 'presiden']"
"['dekat', 'ganjar', 'pranowo', 'dengan', 'alam', 'dan', 'keluarga', 'cipta', 'citra', 'bahwa', 'beliau', 'adalah', 'pimpin', 'yang', 'milik', 'peka', 'hadap', 'lestari', 'lingkung', 'dan', 'nilai', 'nilai', 'keluarga', 'vousmevoila', 'gp', 'presiden']","['dekat', 'ganjar', 'pranowo', 'dengan', 'alam', 'dan', 'keluarga', 'cipta', 'citra', 'bahwa', 'beliau', 'adalah', 'pimpin', 'yang', 'milik', 'peka', 'hadap', 'lestari', 'lingkung', 'dan', 'nilai', 'nilai', 'keluarga', 'vousmevoila', 'gp', 'presiden']"
