tokenizing,stemming
"['ganjar', 'pranowo', 'dan', 'pak', 'mahfud', 'md', 'semoga', 'kepemimpinan', 'kalian', 'memancarkan', 'kehangatan', 'seperti', 'dalam', 'keluarga', 'titysl', 'gp', 'presiden']",ganjar pranowo dan pak mahfud md moga pimpin kalian pancar hangat seperti dalam keluarga titysl gp presiden
"['ganjar', 'pranowo', 'gubernur', 'yang', 'bisa', 'menjadi', 'inspirasi', 'dengan', 'kemampuannya', 'menyatukan', 'seni', 'dan', 'politik', 'bakulojek', 'gp', 'presiden']",ganjar pranowo gubernur yang bisa jadi inspirasi dengan mampu satu seni dan politik bakulojek gp presiden
"['kebersamaan', 'ganjar', 'dan', 'mahfud', 'sebagai', 'tim', 'adalah', 'kunci', 'keberhasilan', 'untuk', 'memajukan', 'indonesia', 'urcutebaby', 'gp', 'presiden']",sama ganjar dan mahfud bagai tim adalah kunci hasil untuk maju indonesia urcutebaby gp presiden
"['mengagumi', 'betapa', 'mas', 'ganjar', 'mampu', 'menjaga', 'keseimbangan', 'antara', 'tugas', 'sebagai', 'pemimpin', 'dan', 'peran', 'sebagai', 'kepala', 'keluarga', 'thvusergf', 'gp', 'presiden']",kagum betapa mas ganjar mampu jaga imbang antara tugas bagai pimpin dan peran bagai kepala keluarga thvusergf gp presiden
"['semoga', 'ganjar', 'pranowo', 'dan', 'mahfud', 'md', 'dapat', 'membawa', 'semangat', 'kebersamaan', 'ke', 'dalam', 'kebijakan', 'nasional', 'bilamuktadin', 'gp', 'presiden']",moga ganjar pranowo dan mahfud md dapat bawa semangat sama ke dalam bijak nasional bilamuktadin gp presiden
"['insana', 'ntt', 'rapatkan', 'barisan', 'dukung', 'ganjar', 'mahfud']",insana ntt rapat baris dukung ganjar mahfud
"['sukses', 'untuk', 'mas', 'ganjar', 'pranowo', 'dan', 'pak', 'mahfud', 'md', 'semoga', 'kepemimpinan', 'mereka', 'membawa', 'indonesia', 'ke', 'puncak', 'kejayaan', 'taufikh', 'gp', 'presiden']",sukses untuk mas ganjar pranowo dan pak mahfud md moga pimpin mereka bawa indonesia ke puncak jaya taufikh gp presiden
"['sukses', 'selalu', 'untuk', 'mas', 'ganjar', 'pranowo', 'dan', 'pak', 'mahfud', 'md', 'mereka', 'adalah', 'tim', 'yang', 'berpotensi', 'membawa', 'kemajuan', 'besar', 'untuk', 'jatim', 'stvrlight', 'gp', 'presiden']",sukses selalu untuk mas ganjar pranowo dan pak mahfud md mereka adalah tim yang potensi bawa maju besar untuk jatim stvrlight gp presiden
"['prihati', 'utami', 'wah', 'tambah', 'tua', 'nih', 'selamat', 'ulang', 'tahun', 'bro', 'alam', 'ganjar', 'semoga', 'makin', 'jadi', 'pribadi', 'yang', 'keren']",prihati utami wah tambah tua nih selamat ulang tahun bro alam ganjar moga makin jadi pribadi yang keren
"['suksesnya', 'ganjar', 'pranowo', 'dalam', 'bercanda', 'membuktikan', 'bahwa', 'pemimpin', 'yang', 'ceria', 'juga', 'mampu', 'membuat', 'keputusan', 'bijak', 'baiqemi', 'gp', 'presiden']",sukses ganjar pranowo dalam canda bukti bahwa pimpin yang ceria juga mampu buat putus bijak baiqemi gp presiden
