created_at,id_str,full_text,quote_count,reply_count,retweet_count,favorite_count,lang,user_id_str,conversation_id_str,username,tweet_url,cleansing,remove_emojis,case_folding,tokenizing,stemming_list,stemming,negation,formalization,stopword_list,stopword_removal
Fri Dec 15 04:10:46 +0000 2023,1735512698522382615,"@andre_rosiade eh botak, bilang ke capres lu dulu dia ngobrol ama anies bahas tentang komitmen dia untuk nuntasin dibjakarta selama dia ngejabat dan gamau nyalonin dalam bentuk apapun. DI PILPRES 2019 KARENAAA UDH KOMITMEN AMA PAK PRABOWO MAU FOKUS DI JAKARTAAA DULU JADI GUBERNUR  GEMES JUGA GW",0,0,0,0,in,1718575798792355840,1735204525517177333,Yhafidzun15,https://twitter.com/Yhafidzun15/status/1735512698522382615,andre rosiade eh botak  bilang ke capres lu dulu dia ngobrol ama anies bahas tentang komitmen dia untuk nuntasin dibjakarta selama dia ngejabat dan gamau nyalonin dalam bentuk apapun  DI PILPRES KARENA UDH KOMITMEN AMA PAK PRABOWO MAU FOKUS DI JAKARTA DULU JADI GUBERNUR  GEMES JUGA GW,andre rosiade eh botak  bilang ke capres lu dulu dia ngobrol ama anies bahas tentang komitmen dia untuk nuntasin dibjakarta selama dia ngejabat dan gamau nyalonin dalam bentuk apapun  DI PILPRES   KARENAAA UDH KOMITMEN AMA PAK PRABOWO MAU FOKUS DI JAKARTAAA DULU JADI GUBERNUR  GEMES JUGA GW,andre rosiade eh botak  bilang ke capres lu dulu dia ngobrol ama anies bahas tentang komitmen dia untuk nuntasin dibjakarta selama dia ngejabat dan gamau nyalonin dalam bentuk apapun  di pilpres karena udh komitmen ama pak prabowo mau fokus di jakarta dulu jadi gubernur  gemes juga gw,"['andre', 'rosiade', 'eh', 'botak', 'bilang', 'ke', 'capres', 'lu', 'dulu', 'dia', 'ngobrol', 'ama', 'anies', 'bahas', 'tentang', 'komitmen', 'dia', 'untuk', 'nuntasin', 'dibjakarta', 'selama', 'dia', 'ngejabat', 'dan', 'gamau', 'nyalonin', 'dalam', 'bentuk', 'apapun', 'di', 'pilpres', 'karena', 'udh', 'komitmen', 'ama', 'pak', 'prabowo', 'mau', 'fokus', 'di', 'jakarta', 'dulu', 'jadi', 'gubernur', 'gemes', 'juga', 'gw']","['andre', 'rosiade', 'eh', 'botak', 'bilang', 'ke', 'capres', 'lu', 'dulu', 'dia', 'ngobrol', 'ama', 'anies', 'bahas', 'tentang', 'komitmen', 'dia', 'untuk', 'nuntasin', 'dibjakarta', 'lama', 'dia', 'ngejabat', 'dan', 'gamau', 'nyalonin', 'dalam', 'bentuk', 'apa', 'di', 'pilpres', 'karena', 'udh', 'komitmen', 'ama', 'pak', 'prabowo', 'mau', 'fokus', 'di', 'jakarta', 'dulu', 'jadi', 'gubernur', 'gemes', 'juga', 'gw']",andre rosiade eh botak bilang ke capres lu dulu dia ngobrol ama anies bahas tentang komitmen dia untuk nuntasin dibjakarta lama dia ngejabat dan gamau nyalonin dalam bentuk apa di pilpres karena udh komitmen ama pak prabowo mau fokus di jakarta dulu jadi gubernur gemes juga gw,"['andre', 'rosiade', 'eh', 'botak', 'bilang', 'ke', 'capres', 'lu', 'dulu', 'dia', 'ngobrol', 'ama', 'anies', 'bahas', 'tentang', 'komitmen', 'dia', 'untuk', 'nuntasin', 'dibjakarta', 'lama', 'dia', 'ngejabat', 'dan', 'gamau', 'nyalonin', 'dalam', 'bentuk', 'apa', 'di', 'pilpres', 'karena', 'udh', 'komitmen', 'ama', 'pak', 'prabowo', 'mau', 'fokus', 'di', 'jakarta', 'dulu', 'jadi', 'gubernur', 'gemes', 'juga', 'gw']","['andre', 'rosiade', 'eh', 'botak', 'bilang', 'ke', 'capres', 'kamu', 'dulu', 'dia', 'ngobrol', 'sama', 'anies', 'bahas', 'tentang', 'komitmen', 'dia', 'untuk', 'nuntasin', 'dibjakarta', 'lama', 'dia', 'ngejabat', 'dan', 'gamau', 'nyalonin', 'dalam', 'bentuk', 'apa', 'di', 'pilpres', 'karena', 'sudah', 'komitmen', 'sama', 'pak', 'prabowo', 'mau', 'fokus', 'di', 'jakarta', 'dulu', 'jadi', 'gubernur', 'gemes', 'juga', 'saya']","['andre', 'rosiade', 'eh', 'botak', 'bilang', 'capres', 'ngobrol', 'anies', 'bahas', 'komitmen', 'nuntasin', 'dibjakarta', 'ngejabat', 'gamau', 'nyalonin', 'bentuk', 'pilpres', 'komitmen', 'prabowo', 'fokus', 'jakarta', 'gubernur', 'gemes']",andre rosiade eh botak bilang capres ngobrol anies bahas komitmen nuntasin dibjakarta ngejabat gamau nyalonin bentuk pilpres komitmen prabowo fokus jakarta gubernur gemes
Fri Dec 15 04:10:46 +0000 2023,1735512698086166538,"Elektabilitas tembus 45 persen, AHY: Prabowo bisa menang satu putaran. mua  AgusYudhoyono PDemokrat Demokrat Bareng AHY https://t.co/ahXm97i7Q6",0,0,0,0,in,1101762919,1735512698086166538,Iza_Zot,https://twitter.com/Iza_Zot/status/1735512698086166538,Elektabilitas tembus persen  AHY  Prabowo bisa menang satu putaran  mua  AgusYudhoyono PDemokrat Demokrat Bareng AHY,Elektabilitas tembus   persen  AHY  Prabowo bisa menang satu putaran  mua  AgusYudhoyono PDemokrat Demokrat Bareng AHY,elektabilitas tembus persen  ahy  prabowo bisa menang satu putaran  mua  agusyudhoyono pdemokrat demokrat bareng ahy,"['elektabilitas', 'tembus', 'persen', 'ahy', 'prabowo', 'bisa', 'menang', 'satu', 'putaran', 'mua', 'agusyudhoyono', 'pdemokrat', 'demokrat', 'bareng', 'ahy']","['elektabilitas', 'tembus', 'persen', 'ahy', 'prabowo', 'bisa', 'menang', 'satu', 'putar', 'mua', 'agusyudhoyono', 'pdemokrat', 'demokrat', 'bareng', 'ahy']",elektabilitas tembus persen ahy prabowo bisa menang satu putar mua agusyudhoyono pdemokrat demokrat bareng ahy,"['elektabilitas', 'tembus', 'persen', 'ahy', 'prabowo', 'bisa', 'menang', 'satu', 'putar', 'mua', 'agusyudhoyono', 'pdemokrat', 'demokrat', 'bareng', 'ahy']","['elektabilitas', 'tembus', 'persen', 'ahy', 'prabowo', 'bisa', 'menang', 'satu', 'putar', 'mua', 'agusyudhoyono', 'pdemokrat', 'demokrat', 'bareng', 'ahy']","['elektabilitas', 'tembus', 'persen', 'ahy', 'prabowo', 'menang', 'putar', 'mua', 'agusyudhoyono', 'pdemokrat', 'demokrat', 'bareng', 'ahy']",elektabilitas tembus persen ahy prabowo menang putar mua agusyudhoyono pdemokrat demokrat bareng ahy
Fri Dec 15 04:10:43 +0000 2023,1735512687281573985,"Beri pujian ke AHY, Prabowo: Pemimpin yang hebat untuk bangsa Indonesia. muj  PDemokrat AgusYudhoyono Demokrat Bareng AHY https://t.co/FiA3yWOcks",0,0,0,0,in,1101762919,1735512687281573985,Iza_Zot,https://twitter.com/Iza_Zot/status/1735512687281573985,Beri pujian ke AHY  Prabowo  Pemimpin yang hebat untuk bangsa Indonesia  muj  PDemokrat AgusYudhoyono Demokrat Bareng AHY,Beri pujian ke AHY  Prabowo  Pemimpin yang hebat untuk bangsa Indonesia  muj  PDemokrat AgusYudhoyono Demokrat Bareng AHY,beri pujian ke ahy  prabowo  pemimpin yang hebat untuk bangsa indonesia  muj  pdemokrat agusyudhoyono demokrat bareng ahy,"['beri', 'pujian', 'ke', 'ahy', 'prabowo', 'pemimpin', 'yang', 'hebat', 'untuk', 'bangsa', 'indonesia', 'muj', 'pdemokrat', 'agusyudhoyono', 'demokrat', 'bareng', 'ahy']","['beri', 'puji', 'ke', 'ahy', 'prabowo', 'pimpin', 'yang', 'hebat', 'untuk', 'bangsa', 'indonesia', 'muj', 'pdemokrat', 'agusyudhoyono', 'demokrat', 'bareng', 'ahy']",beri puji ke ahy prabowo pimpin yang hebat untuk bangsa indonesia muj pdemokrat agusyudhoyono demokrat bareng ahy,"['beri', 'puji', 'ke', 'ahy', 'prabowo', 'pimpin', 'yang', 'hebat', 'untuk', 'bangsa', 'indonesia', 'muj', 'pdemokrat', 'agusyudhoyono', 'demokrat', 'bareng', 'ahy']","['beri', 'puji', 'ke', 'ahy', 'prabowo', 'pimpin', 'yang', 'hebat', 'untuk', 'bangsa', 'indonesia', 'muj', 'pdemokrat', 'agusyudhoyono', 'demokrat', 'bareng', 'ahy']","['puji', 'ahy', 'prabowo', 'pimpin', 'hebat', 'bangsa', 'indonesia', 'muj', 'pdemokrat', 'agusyudhoyono', 'demokrat', 'bareng', 'ahy']",puji ahy prabowo pimpin hebat bangsa indonesia muj pdemokrat agusyudhoyono demokrat bareng ahy
Fri Dec 15 04:10:41 +0000 2023,1735512676552597739,@kurawa jokowi hebat....setuju tapi melihat penampilan prabowo di debat 1.... beliau salah pilih orang...,0,0,0,0,in,1069905602,1735205387757146512,romobing,https://twitter.com/romobing/status/1735512676552597739,kurawa jokowi hebat setuju tapi melihat penampilan prabowo di debat beliau salah pilih orang,kurawa jokowi hebat    setuju tapi melihat penampilan prabowo di debat       beliau salah pilih orang,kurawa jokowi hebat setuju tapi melihat penampilan prabowo di debat beliau salah pilih orang,"['kurawa', 'jokowi', 'hebat', 'setuju', 'tapi', 'melihat', 'penampilan', 'prabowo', 'di', 'debat', 'beliau', 'salah', 'pilih', 'orang']","['rawa', 'jokowi', 'hebat', 'tuju', 'tapi', 'lihat', 'tampil', 'prabowo', 'di', 'debat', 'beliau', 'salah', 'pilih', 'orang']",rawa jokowi hebat tuju tapi lihat tampil prabowo di debat beliau salah pilih orang,"['rawa', 'jokowi', 'hebat', 'tuju', 'tapi', 'lihat', 'tampil', 'prabowo', 'di', 'debat', 'beliau', 'salah', 'pilih', 'orang']","['rawa', 'jokowi', 'hebat', 'tuju', 'tapi', 'lihat', 'tampil', 'prabowo', 'di', 'debat', 'beliau', 'salah', 'pilih', 'orang']","['rawa', 'jokowi', 'hebat', 'tuju', 'lihat', 'tampil', 'prabowo', 'debat', 'beliau', 'salah', 'pilih', 'orang']",rawa jokowi hebat tuju lihat tampil prabowo debat beliau salah pilih orang
Fri Dec 15 04:10:38 +0000 2023,1735512663923490883,Prabowo prediksi AHY akan jadi pemimpin di tingkat nasional. `fc  AgusYudhoyono PDemokrat Demokrat Bareng AHY https://t.co/oKY0BTcGTb,0,0,0,0,in,1101762919,1735512663923490883,Iza_Zot,https://twitter.com/Iza_Zot/status/1735512663923490883,Prabowo prediksi AHY akan jadi pemimpin di tingkat nasional  `fc  AgusYudhoyono PDemokrat Demokrat Bareng AHY,Prabowo prediksi AHY akan jadi pemimpin di tingkat nasional  `fc  AgusYudhoyono PDemokrat Demokrat Bareng AHY,prabowo prediksi ahy akan jadi pemimpin di tingkat nasional  `fc  agusyudhoyono pdemokrat demokrat bareng ahy,"['prabowo', 'prediksi', 'ahy', 'akan', 'jadi', 'pemimpin', 'di', 'tingkat', 'nasional', '`', 'fc', 'agusyudhoyono', 'pdemokrat', 'demokrat', 'bareng', 'ahy']","['prabowo', 'prediksi', 'ahy', 'akan', 'jadi', 'pimpin', 'di', 'tingkat', 'nasional', '', 'fc', 'agusyudhoyono', 'pdemokrat', 'demokrat', 'bareng', 'ahy']",prabowo prediksi ahy akan jadi pimpin di tingkat nasional  fc agusyudhoyono pdemokrat demokrat bareng ahy,"['prabowo', 'prediksi', 'ahy', 'akan', 'jadi', 'pimpin', 'di', 'tingkat', 'nasional', '', 'fc', 'agusyudhoyono', 'pdemokrat', 'demokrat', 'bareng', 'ahy']","['prabowo', 'prediksi', 'ahy', 'akan', 'jadi', 'pimpin', 'di', 'tingkat', 'nasional', '', 'fc', 'agusyudhoyono', 'pdemokrat', 'demokrat', 'bareng', 'ahy']","['prabowo', 'prediksi', 'ahy', 'pimpin', 'tingkat', 'nasional', '', 'fc', 'agusyudhoyono', 'pdemokrat', 'demokrat', 'bareng', 'ahy']",prabowo prediksi ahy pimpin tingkat nasional  fc agusyudhoyono pdemokrat demokrat bareng ahy
Fri Dec 15 04:10:35 +0000 2023,1735512655014825993,"@yuliaaanidiya_ Acara hari ini seru banget, Prabowo, SBY, Djoko Suyanto, dan Sutanto dari Alumni Akabri 1970-1973 hadir semua! dekade08",0,0,0,0,in,1679839209279078400,1735471222564208968,ZahariTasya,https://twitter.com/ZahariTasya/status/1735512655014825993,yulianidiya  Acara hari ini seru banget  Prabowo  SBY  Djoko Suyanto  dan Sutanto dari Alumni Akabri hadir semua  dekade,yuliaaanidiya  Acara hari ini seru banget  Prabowo  SBY  Djoko Suyanto  dan Sutanto dari Alumni Akabri     hadir semua  dekade,yulianidiya  acara hari ini seru banget  prabowo  sby  djoko suyanto  dan sutanto dari alumni akabri hadir semua  dekade,"['yulianidiya', 'acara', 'hari', 'ini', 'seru', 'banget', 'prabowo', 'sby', 'djoko', 'suyanto', 'dan', 'sutanto', 'dari', 'alumni', 'akabri', 'hadir', 'semua', 'dekade']","['yulianidiya', 'acara', 'hari', 'ini', 'seru', 'banget', 'prabowo', 'sby', 'djoko', 'suyanto', 'dan', 'sutanto', 'dari', 'alumni', 'akabri', 'hadir', 'semua', 'dekade']",yulianidiya acara hari ini seru banget prabowo sby djoko suyanto dan sutanto dari alumni akabri hadir semua dekade,"['yulianidiya', 'acara', 'hari', 'ini', 'seru', 'banget', 'prabowo', 'sby', 'djoko', 'suyanto', 'dan', 'sutanto', 'dari', 'alumni', 'akabri', 'hadir', 'semua', 'dekade']","['yulianidiya', 'acara', 'hari', 'ini', 'seru', 'banget', 'prabowo', 'sby', 'djoko', 'suyanto', 'dan', 'sutanto', 'dari', 'alumni', 'akabri', 'hadir', 'semua', 'dekade']","['yulianidiya', 'acara', 'seru', 'banget', 'prabowo', 'sby', 'djoko', 'suyanto', 'sutanto', 'alumni', 'akabri', 'hadir', 'dekade']",yulianidiya acara seru banget prabowo sby djoko suyanto sutanto alumni akabri hadir dekade
Fri Dec 15 04:10:34 +0000 2023,1735512647293137050,@gibran_gen @gibran_tweet @prabowo warga Indonesia butuh sosok pemimpin yang seperti Mas Gibran adanya,0,0,0,0,in,1720143009889853440,1735188988065935730,Ratu_0509,https://twitter.com/Ratu_0509/status/1735512647293137050,gibran gen  gibran tweet  prabowo warga Indonesia butuh sosok pemimpin yang seperti Mas Gibran adanya,gibran gen  gibran tweet  prabowo warga Indonesia butuh sosok pemimpin yang seperti Mas Gibran adanya,gibran gen  gibran tweet  prabowo warga indonesia butuh sosok pemimpin yang seperti mas gibran adanya,"['gibran', 'gen', 'gibran', 'tweet', 'prabowo', 'warga', 'indonesia', 'butuh', 'sosok', 'pemimpin', 'yang', 'seperti', 'mas', 'gibran', 'adanya']","['gibran', 'gen', 'gibran', 'tweet', 'prabowo', 'warga', 'indonesia', 'butuh', 'sosok', 'pimpin', 'yang', 'seperti', 'mas', 'gibran', 'ada']",gibran gen gibran tweet prabowo warga indonesia butuh sosok pimpin yang seperti mas gibran ada,"['gibran', 'gen', 'gibran', 'tweet', 'prabowo', 'warga', 'indonesia', 'butuh', 'sosok', 'pimpin', 'yang', 'seperti', 'mas', 'gibran', 'ada']","['gibran', 'gen', 'gibran', 'tweet', 'prabowo', 'warga', 'indonesia', 'butuh', 'sosok', 'pimpin', 'yang', 'seperti', 'mas', 'gibran', 'ada']","['gibran', 'gen', 'gibran', 'tweet', 'prabowo', 'warga', 'indonesia', 'butuh', 'sosok', 'pimpin', 'mas', 'gibran']",gibran gen gibran tweet prabowo warga indonesia butuh sosok pimpin mas gibran
Fri Dec 15 04:10:33 +0000 2023,1735512644734665204,Demokrat Sumsel siap menangkan pasangan Prabowo-Gibran di pilpres 2024. ]vh  PDemokrat AgusYudhoyono Demokrat Bareng AHY https://t.co/D96wEP7W7A,0,0,0,0,in,1101762919,1735512644734665204,Iza_Zot,https://twitter.com/Iza_Zot/status/1735512644734665204,Demokrat Sumsel siap menangkan pasangan Prabowo Gibran di pilpres ]vh  PDemokrat AgusYudhoyono Demokrat Bareng AHY,Demokrat Sumsel siap menangkan pasangan Prabowo Gibran di pilpres    ]vh  PDemokrat AgusYudhoyono Demokrat Bareng AHY,demokrat sumsel siap menangkan pasangan prabowo gibran di pilpres ]vh  pdemokrat agusyudhoyono demokrat bareng ahy,"['demokrat', 'sumsel', 'siap', 'menangkan', 'pasangan', 'prabowo', 'gibran', 'di', 'pilpres', ']', 'vh', 'pdemokrat', 'agusyudhoyono', 'demokrat', 'bareng', 'ahy']","['demokrat', 'sumsel', 'siap', 'menang', 'pasang', 'prabowo', 'gibran', 'di', 'pilpres', '', 'vh', 'pdemokrat', 'agusyudhoyono', 'demokrat', 'bareng', 'ahy']",demokrat sumsel siap menang pasang prabowo gibran di pilpres  vh pdemokrat agusyudhoyono demokrat bareng ahy,"['demokrat', 'sumsel', 'siap', 'menang', 'pasang', 'prabowo', 'gibran', 'di', 'pilpres', '', 'vh', 'pdemokrat', 'agusyudhoyono', 'demokrat', 'bareng', 'ahy']","['demokrat', 'sumsel', 'siap', 'menang', 'pasang', 'prabowo', 'gibran', 'di', 'pilpres', '', 'vh', 'pdemokrat', 'agusyudhoyono', 'demokrat', 'bareng', 'ahy']","['demokrat', 'sumsel', 'menang', 'pasang', 'prabowo', 'gibran', 'pilpres', '', 'vh', 'pdemokrat', 'agusyudhoyono', 'demokrat', 'bareng', 'ahy']",demokrat sumsel menang pasang prabowo gibran pilpres  vh pdemokrat agusyudhoyono demokrat bareng ahy
Fri Dec 15 04:10:32 +0000 2023,1735512641987375117,"Emang parah dan menjijikan sih pembunuhan karakter dan pelecehan personal Anies ke Prabowo saat debat kemaren. Pak GP aja mo nanya masalah ham pakai kata halus dan minta maaf dulu seblmnya, makanya Prabowo gak serang balik ke GP😏",0,0,0,0,in,37132359,1735512641987375117,OliviaCath1540,https://twitter.com/OliviaCath1540/status/1735512641987375117,Emang parah dan menjijikan sih pembunuhan karakter dan pelecehan personal Anies ke Prabowo saat debat kemaren  Pak GP aja mo nanya masalah ham pakai kata halus dan minta maaf dulu seblmnya  makanya Prabowo gak serang balik ke GP,Emang parah dan menjijikan sih pembunuhan karakter dan pelecehan personal Anies ke Prabowo saat debat kemaren  Pak GP aja mo nanya masalah ham pakai kata halus dan minta maaf dulu seblmnya  makanya Prabowo gak serang balik ke GP,emang parah dan menjijikan sih pembunuhan karakter dan pelecehan personal anies ke prabowo saat debat kemaren  pak gp aja mo nanya masalah ham pakai kata halus dan minta maaf dulu seblmnya  makanya prabowo gak serang balik ke gp,"['emang', 'parah', 'dan', 'menjijikan', 'sih', 'pembunuhan', 'karakter', 'dan', 'pelecehan', 'personal', 'anies', 'ke', 'prabowo', 'saat', 'debat', 'kemaren', 'pak', 'gp', 'aja', 'mo', 'nanya', 'masalah', 'ham', 'pakai', 'kata', 'halus', 'dan', 'minta', 'maaf', 'dulu', 'seblmnya', 'makanya', 'prabowo', 'gak', 'serang', 'balik', 'ke', 'gp']","['emang', 'parah', 'dan', 'jijik', 'sih', 'bunuh', 'karakter', 'dan', 'leceh', 'personal', 'anies', 'ke', 'prabowo', 'saat', 'debat', 'kemaren', 'pak', 'gp', 'aja', 'mo', 'nanya', 'masalah', 'ham', 'pakai', 'kata', 'halus', 'dan', 'minta', 'maaf', 'dulu', 'seblmnya', 'makanya', 'prabowo', 'gak', 'serang', 'balik', 'ke', 'gp']",emang parah dan jijik sih bunuh karakter dan leceh personal anies ke prabowo saat debat kemaren pak gp aja mo nanya masalah ham pakai kata halus dan minta maaf dulu seblmnya makanya prabowo gak serang balik ke gp,"['emang', 'parah', 'dan', 'jijik', 'sih', 'bunuh', 'karakter', 'dan', 'leceh', 'personal', 'anies', 'ke', 'prabowo', 'saat', 'debat', 'kemaren', 'pak', 'gp', 'aja', 'mo', 'nanya', 'masalah', 'ham', 'pakai', 'kata', 'halus', 'dan', 'minta', 'maaf', 'dulu', 'seblmnya', 'makanya', 'prabowo', 'tidak_serang', 'balik', 'ke', 'gp']","['emang', 'parah', 'dan', 'jijik', 'sih', 'bunuh', 'karakter', 'dan', 'leceh', 'personal', 'anies', 'ke', 'prabowo', 'saat', 'debat', 'kemarin', 'pak', 'gp', 'saja', 'mau', 'bertanya', 'masalah', 'ham', 'pakai', 'kata', 'halus', 'dan', 'minta', 'maaf', 'dulu', 'seblmnya', 'makanya', 'prabowo', 'tidak_serang', 'balik', 'ke', 'gp']","['emang', 'parah', 'jijik', 'sih', 'bunuh', 'karakter', 'leceh', 'personal', 'anies', 'prabowo', 'debat', 'kemarin', 'gp', 'ham', 'pakai', 'halus', 'maaf', 'seblmnya', 'prabowo', 'tidak', 'serang', 'gp']",emang parah jijik sih bunuh karakter leceh personal anies prabowo debat kemarin gp ham pakai halus maaf seblmnya prabowo tidak serang gp
Fri Dec 15 04:10:32 +0000 2023,1735512639697297811,"@yuliaaanidiya_ Ketua Tim Komunikasi TKN Prabowo-Gibran, Budisatrio Djiwandono: Prabowo tetap serius di tugas Menhan menjelang debat pertama Capres. dekade08",0,0,0,0,in,1661231406478163968,1735471222564208968,hyunaindira,https://twitter.com/hyunaindira/status/1735512639697297811,yulianidiya  Ketua Tim Komunikasi TKN Prabowo Gibran  Budisatrio Djiwandono  Prabowo tetap serius di tugas Menhan menjelang debat pertama Capres  dekade,yuliaaanidiya  Ketua Tim Komunikasi TKN Prabowo Gibran  Budisatrio Djiwandono  Prabowo tetap serius di tugas Menhan menjelang debat pertama Capres  dekade,yulianidiya  ketua tim komunikasi tkn prabowo gibran  budisatrio djiwandono  prabowo tetap serius di tugas menhan menjelang debat pertama capres  dekade,"['yulianidiya', 'ketua', 'tim', 'komunikasi', 'tkn', 'prabowo', 'gibran', 'budisatrio', 'djiwandono', 'prabowo', 'tetap', 'serius', 'di', 'tugas', 'menhan', 'menjelang', 'debat', 'pertama', 'capres', 'dekade']","['yulianidiya', 'ketua', 'tim', 'komunikasi', 'tkn', 'prabowo', 'gibran', 'budisatrio', 'djiwandono', 'prabowo', 'tetap', 'serius', 'di', 'tugas', 'menhan', 'jelang', 'debat', 'pertama', 'capres', 'dekade']",yulianidiya ketua tim komunikasi tkn prabowo gibran budisatrio djiwandono prabowo tetap serius di tugas menhan jelang debat pertama capres dekade,"['yulianidiya', 'ketua', 'tim', 'komunikasi', 'tkn', 'prabowo', 'gibran', 'budisatrio', 'djiwandono', 'prabowo', 'tetap', 'serius', 'di', 'tugas', 'menhan', 'jelang', 'debat', 'pertama', 'capres', 'dekade']","['yulianidiya', 'ketua', 'tim', 'komunikasi', 'tkn', 'prabowo', 'gibran', 'budisatrio', 'djiwandono', 'prabowo', 'tetap', 'serius', 'di', 'tugas', 'menhan', 'jelang', 'debat', 'pertama', 'capres', 'dekade']","['yulianidiya', 'ketua', 'tim', 'komunikasi', 'tkn', 'prabowo', 'gibran', 'budisatrio', 'djiwandono', 'prabowo', 'serius', 'tugas', 'menhan', 'jelang', 'debat', 'capres', 'dekade']",yulianidiya ketua tim komunikasi tkn prabowo gibran budisatrio djiwandono prabowo serius tugas menhan jelang debat capres dekade
