tokenizing,stemming
"['andre', 'rosiade', 'eh', 'botak', 'bilang', 'ke', 'capres', 'lu', 'dulu', 'dia', 'ngobrol', 'ama', 'anies', 'bahas', 'tentang', 'komitmen', 'dia', 'untuk', 'nuntasin', 'dibjakarta', 'selama', 'dia', 'ngejabat', 'dan', 'gamau', 'nyalonin', 'dalam', 'bentuk', 'apapun', 'di', 'pilpres', 'karena', 'udh', 'komitmen', 'ama', 'pak', 'prabowo', 'mau', 'fokus', 'di', 'jakarta', 'dulu', 'jadi', 'gubernur', 'gemes', 'juga', 'gw']",andre rosiade eh botak bilang ke capres lu dulu dia ngobrol ama anies bahas tentang komitmen dia untuk nuntasin dibjakarta lama dia ngejabat dan gamau nyalonin dalam bentuk apa di pilpres karena udh komitmen ama pak prabowo mau fokus di jakarta dulu jadi gubernur gemes juga gw
"['elektabilitas', 'tembus', 'persen', 'ahy', 'prabowo', 'bisa', 'menang', 'satu', 'putaran', 'mua', 'agusyudhoyono', 'pdemokrat', 'demokrat', 'bareng', 'ahy']",elektabilitas tembus persen ahy prabowo bisa menang satu putar mua agusyudhoyono pdemokrat demokrat bareng ahy
"['beri', 'pujian', 'ke', 'ahy', 'prabowo', 'pemimpin', 'yang', 'hebat', 'untuk', 'bangsa', 'indonesia', 'muj', 'pdemokrat', 'agusyudhoyono', 'demokrat', 'bareng', 'ahy']",beri puji ke ahy prabowo pimpin yang hebat untuk bangsa indonesia muj pdemokrat agusyudhoyono demokrat bareng ahy
"['kurawa', 'jokowi', 'hebat', 'setuju', 'tapi', 'melihat', 'penampilan', 'prabowo', 'di', 'debat', 'beliau', 'salah', 'pilih', 'orang']",rawa jokowi hebat tuju tapi lihat tampil prabowo di debat beliau salah pilih orang
"['prabowo', 'prediksi', 'ahy', 'akan', 'jadi', 'pemimpin', 'di', 'tingkat', 'nasional', '`', 'fc', 'agusyudhoyono', 'pdemokrat', 'demokrat', 'bareng', 'ahy']",prabowo prediksi ahy akan jadi pimpin di tingkat nasional  fc agusyudhoyono pdemokrat demokrat bareng ahy
"['yulianidiya', 'acara', 'hari', 'ini', 'seru', 'banget', 'prabowo', 'sby', 'djoko', 'suyanto', 'dan', 'sutanto', 'dari', 'alumni', 'akabri', 'hadir', 'semua', 'dekade']",yulianidiya acara hari ini seru banget prabowo sby djoko suyanto dan sutanto dari alumni akabri hadir semua dekade
"['gibran', 'gen', 'gibran', 'tweet', 'prabowo', 'warga', 'indonesia', 'butuh', 'sosok', 'pemimpin', 'yang', 'seperti', 'mas', 'gibran', 'adanya']",gibran gen gibran tweet prabowo warga indonesia butuh sosok pimpin yang seperti mas gibran ada
"['demokrat', 'sumsel', 'siap', 'menangkan', 'pasangan', 'prabowo', 'gibran', 'di', 'pilpres', ']', 'vh', 'pdemokrat', 'agusyudhoyono', 'demokrat', 'bareng', 'ahy']",demokrat sumsel siap menang pasang prabowo gibran di pilpres  vh pdemokrat agusyudhoyono demokrat bareng ahy
"['emang', 'parah', 'dan', 'menjijikan', 'sih', 'pembunuhan', 'karakter', 'dan', 'pelecehan', 'personal', 'anies', 'ke', 'prabowo', 'saat', 'debat', 'kemaren', 'pak', 'gp', 'aja', 'mo', 'nanya', 'masalah', 'ham', 'pakai', 'kata', 'halus', 'dan', 'minta', 'maaf', 'dulu', 'seblmnya', 'makanya', 'prabowo', 'gak', 'serang', 'balik', 'ke', 'gp']",emang parah dan jijik sih bunuh karakter dan leceh personal anies ke prabowo saat debat kemaren pak gp aja mo nanya masalah ham pakai kata halus dan minta maaf dulu seblmnya makanya prabowo gak serang balik ke gp
"['yulianidiya', 'ketua', 'tim', 'komunikasi', 'tkn', 'prabowo', 'gibran', 'budisatrio', 'djiwandono', 'prabowo', 'tetap', 'serius', 'di', 'tugas', 'menhan', 'menjelang', 'debat', 'pertama', 'capres', 'dekade']",yulianidiya ketua tim komunikasi tkn prabowo gibran budisatrio djiwandono prabowo tetap serius di tugas menhan jelang debat pertama capres dekade
"['program', 'prabowo', 'membawa', 'perubahan', 'positif', 'bagi', 'industri', 'nasional', 'dengan', 'peluang', 'ekspor', 'yang', 'semakin', 'terbuka', 'program', 'prioritaspragibs']",program prabowo bawa ubah positif bagi industri nasional dengan peluang ekspor yang makin buka program prioritaspragibs
"['ahy', 'optimis', 'prabowo', 'akan', 'wujudkan', 'perubahan', 'pada', 'indonesia', '\\', 'agusyudhoyono', 'pdemokrat', 'demokrat', 'bareng', 'ahy']",ahy optimis prabowo akan wujud ubah pada indonesia  agusyudhoyono pdemokrat demokrat bareng ahy
"['hadiri', 'perayaan', 'ultah', 'prabowo', 'ahy', 'semoga', 'beliau', 'terpilih', 'menjadi', 'presiden', 'ely', 'pdemokrat', 'agusyudhoyono', 'demokrat', 'bareng', 'ahy']",hadir raya ultah prabowo ahy moga beliau pilih jadi presiden ely pdemokrat agusyudhoyono demokrat bareng ahy
"['hbd', 'mba', 'deasycii', 'sehat', 'sukses', 'dan', 'gemoy', 'selalu', 'satu', 'lagi', 'neh', 'min', 'gerindra', 'pendukungmu', 'dan', 'pendukung', 'pak', 'prabowo', 'ultah', 'kasih', 'ucapan', 'jg', 'min']",hbd mba deasycii sehat sukses dan gemoy selalu satu lagi neh min gerindra dukung dan dukung pak prabowo ultah kasih ucap jg min
"['yulianidiya', 'prabowo', 'subianto', 'mendapatkan', 'banyak', 'dukungan', 'dari', 'artis', 'maupun', 'konten', 'kreator', 'dekade']",yulianidiya prabowo subianto dapat banyak dukung dari artis maupun konten kreator dekade
"['basis', 'lama', 'kembali', 'elektabilitas', 'prabowo', 'makin', 'solid', 'jelang', 'pilpres', 'jl', 'pdemokrat', 'agusyudhoyono', 'demokrat', 'bareng', 'ahy']",basis lama kembali elektabilitas prabowo makin solid jelang pilpres jl pdemokrat agusyudhoyono demokrat bareng ahy
"['erickthohir', 'prabowo', 'abis', 'apbn', 'buat', 'kampanye', 'mulu', 'tohir', 'emang', 'bangke']",erickthohir prabowo abis apbn buat kampanye mulu tohir emang bangke
"['prabowo', 'ulang', 'tahun', 'ahy', 'doakan', 'agar', 'menjadi', 'presiden', 'gqr', 'agusyudhoyono', 'pdemokrat', 'demokrat', 'bareng', 'ahy']",prabowo ulang tahun ahy doa agar jadi presiden gqr agusyudhoyono pdemokrat demokrat bareng ahy
"['cawapres', 'kim', 'wewenang', 'mutlak', 'capres', 'ahy', 'demokrat', 'usulkan', 'khofifah', 'cawapres', 'prabowo', 'wn', 'pdemokrat', 'agusyudhoyono', 'demokrat', 'bareng', 'ahy']",cawapres kim wewenang mutlak capres ahy demokrat usul khofifah cawapres prabowo wn pdemokrat agusyudhoyono demokrat bareng ahy
"['esawela', 'semangat', 'besar', 'terpancar', 'dari', 'program', 'prioritas', 'prabowo', 'gibran', 'untuk', 'negeri', 'tercinta', 'program', 'prioritaspragibs']",esawela semangat besar pancar dari program prioritas prabowo gibran untuk negeri cinta program prioritaspragibs
"['pak', 'prabowo', 'kata', 'partaisocmed', 'emang', 'jumatan', 'dimana']",pak prabowo kata partaisocmed emang jumat mana
"['partaisocmed', 'aniesbaswedan', 'prabowo', 'serem', 'banget', 'ya', 'efek', 'asam', 'sulfat']",partaisocmed aniesbaswedan prabowo rem banget ya efek asam sulfat
"['ahy', 'akan', 'berjuang', 'menangkan', 'prabowo', 'siapa', 'pun', 'cawapresnya', 'gwi', 'agusyudhoyono', 'pdemokrat', 'demokrat', 'bareng', 'ahy']",ahy akan juang menang prabowo siapa pun cawapresnya gwi agusyudhoyono pdemokrat demokrat bareng ahy
"['ahy', 'kami', 'siap', 'menangkan', 'prabowo', 'demokrat', 'bangkit', 'di', '^me', 'pdemokrat', 'agusyudhoyono', 'demokrat', 'bareng', 'ahy']",ahy kami siap menang prabowo demokrat bangkit di me pdemokrat agusyudhoyono demokrat bareng ahy
"['isu', 'gorengan', 'tahunan', 'sekali', 'yang', 'selalu', 'keluar', 'jelang', 'pemilu', 'tentu', 'saja', 'kalau', 'bukan', 'buat', 'nyerempet', 'pak', 'prabowo', 'buat', 'apalagi', 'jadi', 'jelas', 'ya', 'pertanyaan', 'ganjar', 'hanya', 'ingin', 'mendiskreditkan', 'prabowo']",isu goreng tahun sekali yang selalu keluar jelang milu tentu saja kalau bukan buat nyerempet pak prabowo buat apalagi jadi jelas ya tanya ganjar hanya ingin diskredit prabowo
"['wkwkwkwkwkwk', 'kubu', 'jokowi', 'cs', 'nya', 'ahok', 'kubu', 'prabowo', 'cs', 'nya', 'jokowi', 'jokowi', 'dan', 'prabowo', 'cs', 'nya', 'habib', 'rizieq', 'anies', 'pun', 'cs', 'nya', 'habib', 'rizieq', 'dan', 'ahokers', 'saat', 'ini', 'panas', 'liat', 'habib', 'rizieq', 'dukung', 'anies', 'junjungan', 'lo', 'aja', 'cs', 'nya', 'habib', 'rizieq']",wkwkwkwkwkwk kubu jokowi cs nya ahok kubu prabowo cs nya jokowi jokowi dan prabowo cs nya habib rizieq anies pun cs nya habib rizieq dan ahokers saat ini panas liat habib rizieq dukung anies junjung lo aja cs nya habib rizieq
"['sikap', 'tegas', 'prabowo', 'bawa', 'keunggulan', 'di', 'jawa', 'barat', 'omn', 'pdemokrat', 'agusyudhoyono', 'demokrat', 'bareng', 'ahy']",sikap tegas prabowo bawa unggul di jawa barat omn pdemokrat agusyudhoyono demokrat bareng ahy
"['ekowboy', 'pas', 'tepat', 'pak', 'prabowo', 'satu', 'paket', 'dg', 'jokowi', 'prrsiden', 'kebanggaan', 'rakyat', 'indonesia']",ekowboy pas tepat pak prabowo satu paket dg jokowi prrsiden bangga rakyat indonesia
"['ahy', 'yakin', 'prabowo', 'pemimpin', 'yang', 'prioritaskan', 'kepentingan', 'bangsa', 'zxs', 'agusyudhoyono', 'pdemokrat', 'demokrat', 'bareng', 'ahy']",ahy yakin prabowo pimpin yang prioritas penting bangsa zxs agusyudhoyono pdemokrat demokrat bareng ahy
"['gibran', 'gen', 'gibran', 'tweet', 'prabowo', 'indonesia', 'bisa', 'menuju', 'indonesia', 'emas', 'bersama', 'prabowo', 'gibran']",gibran gen gibran tweet prabowo indonesia bisa tuju indonesia emas sama prabowo gibran
"['partaisocmed', 'prabowo', 'silakan', 'ngeles', 'untuk', 'menyedapkan', 'hati', 'gerombolan', 'bebek']",partaisocmed prabowo sila ngeles untuk sedap hati gerombol bebek
"['partai', 'demokrat', 'prabowo', 'bersama', 'presiden', 'ke', 'dan', 'ke', 'bisa', 'jadi', 'presiden', 'ke', 'ker', 'pdemokrat', 'agusyudhoyono', 'demokrat', 'bareng', 'ahy']",partai demokrat prabowo sama presiden ke dan ke bisa jadi presiden ke ker pdemokrat agusyudhoyono demokrat bareng ahy
"['onang', 'kea', 'meipri', 'partaisocmed', 'partono', 'adjem', 'prabowo', 'achb', 'itu', 'hoax', 'asap', 'disingapura', 'ya', 'asap', 'ktp', 'orchad', 'road']",onang kea meipri partaisocmed partono adjem prabowo achb itu hoax asap disingapura ya asap ktp orchad road
"['prabowo', 'diakui', 'sosok', 'pemimpin', 'berdaulat', 'untuk', 'indonesia', 'owt', 'pdemokrat', 'agusyudhoyono', 'demokrat', 'bareng', 'ahy']",prabowo aku sosok pimpin daulat untuk indonesia owt pdemokrat agusyudhoyono demokrat bareng ahy
"['prabowo', 'ganjar', 'anis', 'hanya', 'prediksi']",prabowo ganjar anis hanya prediksi
"['partaisocmed', 'prabowo', 'karena', 'tidak', 'tahan', 'goda', 'akhirnya', 'turun', 'kasta', 'juga', 'dirimu']",partaisocmed prabowo karena tidak tahan goda akhir turun kasta juga diri
