formalization,stopword_removal
"['andre', 'rosiade', 'eh', 'botak', 'bilang', 'ke', 'capres', 'kamu', 'dulu', 'dia', 'ngobrol', 'sama', 'anies', 'bahas', 'tentang', 'komitmen', 'dia', 'untuk', 'nuntasin', 'dibjakarta', 'lama', 'dia', 'ngejabat', 'dan', 'gamau', 'nyalonin', 'dalam', 'bentuk', 'apa', 'di', 'pilpres', 'karena', 'sudah', 'komitmen', 'sama', 'pak', 'prabowo', 'mau', 'fokus', 'di', 'jakarta', 'dulu', 'jadi', 'gubernur', 'gemes', 'juga', 'saya']",andre rosiade eh botak bilang capres ngobrol anies bahas komitmen nuntasin dibjakarta ngejabat gamau nyalonin bentuk pilpres komitmen prabowo fokus jakarta gubernur gemes
"['elektabilitas', 'tembus', 'persen', 'ahy', 'prabowo', 'bisa', 'menang', 'satu', 'putar', 'mua', 'agusyudhoyono', 'pdemokrat', 'demokrat', 'bareng', 'ahy']",elektabilitas tembus persen ahy prabowo menang putar mua agusyudhoyono pdemokrat demokrat bareng ahy
"['beri', 'puji', 'ke', 'ahy', 'prabowo', 'pimpin', 'yang', 'hebat', 'untuk', 'bangsa', 'indonesia', 'muj', 'pdemokrat', 'agusyudhoyono', 'demokrat', 'bareng', 'ahy']",puji ahy prabowo pimpin hebat bangsa indonesia muj pdemokrat agusyudhoyono demokrat bareng ahy
"['rawa', 'jokowi', 'hebat', 'tuju', 'tapi', 'lihat', 'tampil', 'prabowo', 'di', 'debat', 'beliau', 'salah', 'pilih', 'orang']",rawa jokowi hebat tuju lihat tampil prabowo debat beliau salah pilih orang
"['prabowo', 'prediksi', 'ahy', 'akan', 'jadi', 'pimpin', 'di', 'tingkat', 'nasional', '', 'fc', 'agusyudhoyono', 'pdemokrat', 'demokrat', 'bareng', 'ahy']",prabowo prediksi ahy pimpin tingkat nasional  fc agusyudhoyono pdemokrat demokrat bareng ahy
"['yulianidiya', 'acara', 'hari', 'ini', 'seru', 'banget', 'prabowo', 'sby', 'djoko', 'suyanto', 'dan', 'sutanto', 'dari', 'alumni', 'akabri', 'hadir', 'semua', 'dekade']",yulianidiya acara seru banget prabowo sby djoko suyanto sutanto alumni akabri hadir dekade
"['gibran', 'gen', 'gibran', 'tweet', 'prabowo', 'warga', 'indonesia', 'butuh', 'sosok', 'pimpin', 'yang', 'seperti', 'mas', 'gibran', 'ada']",gibran gen gibran tweet prabowo warga indonesia butuh sosok pimpin mas gibran
"['demokrat', 'sumsel', 'siap', 'menang', 'pasang', 'prabowo', 'gibran', 'di', 'pilpres', '', 'vh', 'pdemokrat', 'agusyudhoyono', 'demokrat', 'bareng', 'ahy']",demokrat sumsel menang pasang prabowo gibran pilpres  vh pdemokrat agusyudhoyono demokrat bareng ahy
"['emang', 'parah', 'dan', 'jijik', 'sih', 'bunuh', 'karakter', 'dan', 'leceh', 'personal', 'anies', 'ke', 'prabowo', 'saat', 'debat', 'kemarin', 'pak', 'gp', 'saja', 'mau', 'bertanya', 'masalah', 'ham', 'pakai', 'kata', 'halus', 'dan', 'minta', 'maaf', 'dulu', 'seblmnya', 'makanya', 'prabowo', 'tidak_serang', 'balik', 'ke', 'gp']",emang parah jijik sih bunuh karakter leceh personal anies prabowo debat kemarin gp ham pakai halus maaf seblmnya prabowo tidak serang gp
"['yulianidiya', 'ketua', 'tim', 'komunikasi', 'tkn', 'prabowo', 'gibran', 'budisatrio', 'djiwandono', 'prabowo', 'tetap', 'serius', 'di', 'tugas', 'menhan', 'jelang', 'debat', 'pertama', 'capres', 'dekade']",yulianidiya ketua tim komunikasi tkn prabowo gibran budisatrio djiwandono prabowo serius tugas menhan jelang debat capres dekade
"['program', 'prabowo', 'bawa', 'ubah', 'positif', 'bagi', 'industri', 'nasional', 'dengan', 'peluang', 'ekspor', 'yang', 'makin', 'buka', 'program', 'prioritaspragibs']",program prabowo bawa ubah positif industri nasional peluang ekspor buka program prioritaspragibs
