Unnamed: 0,created_at,id_str,full_text,quote_count,reply_count,retweet_count,favorite_count,lang,user_id_str,conversation_id_str,username,tweet_url,cleansing,remove_emojis,case_folding,tokenizing,stemming_list,stemming,negation,formalization,stopword_list,stopword_removal,english_comment,vader_sentiment
3,Fri Dec 15 04:04:27 +0000 2023,1.735511110340825e+18,@kumparan @aniesbaswedan anies... BERBOHONG DAN NIPU TANPA RASA BERSALAH,0.0,0,0.0,0.0,in,1.7108239092754104e+18,1.7351458618969254e+18,justtheway333,https://twitter.com/justtheway333/status/1735511110340825410,kumparan  aniesbaswedan anies BERBOHONG DAN NIPU TANPA RASA BERSALAH,kumparan  aniesbaswedan anies    BERBOHONG DAN NIPU TANPA RASA BERSALAH,kumparan  aniesbaswedan anies berbohong dan nipu tanpa rasa bersalah,"['kumparan', 'aniesbaswedan', 'anies', 'berbohong', 'dan', 'nipu', 'tanpa', 'rasa', 'bersalah']","['kumpar', 'aniesbaswedan', 'anies', 'bohong', 'dan', 'nipu', 'tanpa', 'rasa', 'salah']",kumpar aniesbaswedan anies bohong dan nipu tanpa rasa salah,"['kumpar', 'aniesbaswedan', 'anies', 'bohong', 'dan', 'nipu', 'tanpa', 'rasa', 'salah']","['kumpar', 'aniesbaswedan', 'anies', 'bohong', 'dan', 'tipu', 'tanpa', 'rasa', 'salah']","['kumpar', 'aniesbaswedan', 'anies', 'bohong', 'tipu', 'salah']",kumpar aniesbaswedan anies bohong tipu salah,Kumpar Aniesbaswedan Anies lied and lied wrongly,negative
5,Fri Dec 15 04:04:25 +0000 2023,1.7355111030468936e+18,"Prabowo Sindir Anies Baswedan: APBD Paling Besar, Tapi Kok Mas Anies Gagal Memimpin Jakarta!  Gacoan | Anies | gempa | Daesang | Pagii | BATTER UP 100M VIEWS | pilihan terbaik | #SUHOinAAA | #NightHasComeEp8 | #NCTDREAMxSALMASALSABIL https://t.co/5ftxD8kCsB",0.0,1,1.0,1.0,in,1.6617573375547845e+18,1.7355111030468936e+18,singgihabdrchmn,https://twitter.com/singgihabdrchmn/status/1735511103046893580,Prabowo Sindir Anies Baswedan  APBD Paling Besar  Tapi Kok Mas Anies Gagal Memimpin Jakarta Gacoan Anies gempa Daesang Pagii BATTER UP VIEWS pilihan terbaik,Prabowo Sindir Anies Baswedan  APBD Paling Besar  Tapi Kok Mas Anies Gagal Memimpin Jakarta   Gacoan   Anies   gempa   Daesang   Pagii   BATTER UP    VIEWS   pilihan terbaik,prabowo sindir anies baswedan  apbd paling besar  tapi kok mas anies gagal memimpin jakarta gacoan anies gempa daesang pagii batter up views pilihan terbaik,"['prabowo', 'sindir', 'anies', 'baswedan', 'apbd', 'paling', 'besar', 'tapi', 'kok', 'mas', 'anies', 'gagal', 'memimpin', 'jakarta', 'gacoan', 'anies', 'gempa', 'daesang', 'pagii', 'batter', 'up', 'views', 'pilihan', 'terbaik']","['prabowo', 'sindir', 'anies', 'baswedan', 'apbd', 'paling', 'besar', 'tapi', 'kok', 'mas', 'anies', 'gagal', 'pimpin', 'jakarta', 'gaco', 'anies', 'gempa', 'daesang', 'pagi', 'batter', 'up', 'views', 'pilih', 'baik']",prabowo sindir anies baswedan apbd paling besar tapi kok mas anies gagal pimpin jakarta gaco anies gempa daesang pagi batter up views pilih baik,"['prabowo', 'sindir', 'anies', 'baswedan', 'apbd', 'paling', 'besar', 'tapi', 'kok', 'mas', 'anies', 'gagal', 'pimpin', 'jakarta', 'gaco', 'anies', 'gempa', 'daesang', 'pagi', 'batter', 'up', 'views', 'pilih', 'baik']","['prabowo', 'sindir', 'anies', 'baswedan', 'anggaran pendapatan dan belanja daerah', 'paling', 'besar', 'tapi', 'kok', 'mas', 'anies', 'gagal', 'pimpin', 'jakarta', 'gaco', 'anies', 'gempa', 'daesang', 'pagi', 'batter', 'up', 'views', 'pilih', 'baik']","['prabowo', 'sindir', 'anies', 'baswedan', 'anggaran pendapatan dan belanja daerah', 'mas', 'anies', 'gagal', 'pimpin', 'jakarta', 'gaco', 'anies', 'gempa', 'daesang', 'pagi', 'batter', 'up', 'views', 'pilih']",prabowo sindir anies baswedan anggaran pendapatan dan belanja daerah mas anies gagal pimpin jakarta gaco anies gempa daesang pagi batter up views pilih,Prabowo insinuates Anies Baswedan Mas Anies regional income and expenditure budget fails to lead Jakarta Gaco Anies Daesang earthquake morning batter up views vote,negative
6,Fri Dec 15 04:04:15 +0000 2023,1.7355110599252298e+18,"@hasyimmah Alesan harus jelas dan pak anies sudah menjelaskan sejelas jelas nya,masih engga paham?dungu berarti",0.0,0,0.0,1.0,in,3157194798.0,1.735191540715459e+18,7f33229758ab489,https://twitter.com/7f33229758ab489/status/1735511059925229872,hasyimmah Alesan harus jelas dan pak anies sudah menjelaskan sejelas jelas nya masih engga paham dungu berarti,hasyimmah Alesan harus jelas dan pak anies sudah menjelaskan sejelas jelas nya masih engga paham dungu berarti,hasyimmah alesan harus jelas dan pak anies sudah menjelaskan sejelas jelas nya masih engga paham dungu berarti,"['hasyimmah', 'alesan', 'harus', 'jelas', 'dan', 'pak', 'anies', 'sudah', 'menjelaskan', 'sejelas', 'jelas', 'nya', 'masih', 'engga', 'paham', 'dungu', 'berarti']","['hasyimmah', 'alesan', 'harus', 'jelas', 'dan', 'pak', 'anies', 'sudah', 'jelas', 'jelas', 'jelas', 'nya', 'masih', 'engga', 'paham', 'dungu', 'arti']",hasyimmah alesan harus jelas dan pak anies sudah jelas jelas jelas nya masih engga paham dungu arti,"['hasyimmah', 'alesan', 'harus', 'jelas', 'dan', 'pak', 'anies', 'sudah', 'jelas', 'jelas', 'jelas', 'nya', 'masih', 'engga', 'paham', 'dungu', 'arti']","['hasyimmah', 'alasan', 'harus', 'jelas', 'dan', 'pak', 'anies', 'sudah', 'jelas', 'jelas', 'jelas', 'nya', 'masih', 'engga', 'paham', 'dungu', 'arti']","['hasyimmah', 'alasan', 'anies', 'nya', 'engga', 'paham', 'dungu', 'arti']",hasyimmah alasan anies nya engga paham dungu arti,Hasyimmah's excuse is that Anies doesn't understand the meaning of stupid,negative
14,Fri Dec 15 04:03:43 +0000 2023,1.735510926038856e+18,Itu yang bilang Anies modal kata doang tapi pacarannya di Eco Park Tebet musuhin aja,0.0,0,0.0,0.0,in,1.0147731600113952e+18,1.735510926038856e+18,visav99,https://twitter.com/visav99/status/1735510926038856059,Itu yang bilang Anies modal kata doang tapi pacarannya di Eco Park Tebet musuhin aja,Itu yang bilang Anies modal kata doang tapi pacarannya di Eco Park Tebet musuhin aja,itu yang bilang anies modal kata doang tapi pacarannya di eco park tebet musuhin aja,"['itu', 'yang', 'bilang', 'anies', 'modal', 'kata', 'doang', 'tapi', 'pacarannya', 'di', 'eco', 'park', 'tebet', 'musuhin', 'aja']","['itu', 'yang', 'bilang', 'anies', 'modal', 'kata', 'doang', 'tapi', 'pacar', 'di', 'eco', 'park', 'tebet', 'musuhin', 'aja']",itu yang bilang anies modal kata doang tapi pacar di eco park tebet musuhin aja,"['itu', 'yang', 'bilang', 'anies', 'modal', 'kata', 'doang', 'tapi', 'pacar', 'di', 'eco', 'park', 'tebet', 'musuhin', 'aja']","['itu', 'yang', 'bilang', 'anies', 'modal', 'kata', 'doang', 'tapi', 'pacar', 'di', 'eco', 'park', 'tebet', 'musuhin', 'saja']","['bilang', 'anies', 'modal', 'doang', 'pacar', 'eco', 'park', 'tebet', 'musuhin']",bilang anies modal doang pacar eco park tebet musuhin,Anies said that Eco Park's girlfriend is just capital and makes enemies,negative
17,Fri Dec 15 04:03:33 +0000 2023,1.73551088516957e+18,Gerindra Bantah soal Anies Bilang Prabowo Bisnisnya Macet Gegara Jadi Oposisi  https://t.co/eCtiuAJFsg,0.0,0,0.0,0.0,in,788744100.0,1.73551088516957e+18,Riau24Com,https://twitter.com/Riau24Com/status/1735510885169570172,Gerindra Bantah soal Anies Bilang Prabowo Bisnisnya Macet Gegara Jadi Oposisi,Gerindra Bantah soal Anies Bilang Prabowo Bisnisnya Macet Gegara Jadi Oposisi,gerindra bantah soal anies bilang prabowo bisnisnya macet gegara jadi oposisi,"['gerindra', 'bantah', 'soal', 'anies', 'bilang', 'prabowo', 'bisnisnya', 'macet', 'gegara', 'jadi', 'oposisi']","['gerindra', 'bantah', 'soal', 'anies', 'bilang', 'prabowo', 'bisnis', 'macet', 'gegara', 'jadi', 'oposisi']",gerindra bantah soal anies bilang prabowo bisnis macet gegara jadi oposisi,"['gerindra', 'bantah', 'soal', 'anies', 'bilang', 'prabowo', 'bisnis', 'macet', 'gegara', 'jadi', 'oposisi']","['gerindra', 'bantah', 'soal', 'anies', 'bilang', 'prabowo', 'bisnis', 'macet', 'gegara', 'jadi', 'oposisi']","['gerindra', 'bantah', 'anies', 'bilang', 'prabowo', 'bisnis', 'macet', 'gegara', 'oposisi']",gerindra bantah anies bilang prabowo bisnis macet gegara oposisi,Gerindra denies that Anies says Prabowo's business has stalled because of the opposition,negative
18,Fri Dec 15 04:03:31 +0000 2023,1.7355108736520236e+18,"@dhemit_is_back Anies ikut dalam menguburkan Harun tahun 2019, ada beritanya itu. Apakah masih dikatakan HOAX padahal beliau ikut dalam penguburannya.",0.0,0,0.0,0.0,in,1.709037131220611e+18,1.7355063684745175e+18,nameItAllSarah,https://twitter.com/nameItAllSarah/status/1735510873652023642,dhemit is back Anies ikut dalam menguburkan Harun tahun ada beritanya itu  Apakah masih dikatakan HOAX padahal beliau ikut dalam penguburannya,dhemit is back Anies ikut dalam menguburkan Harun tahun    ada beritanya itu  Apakah masih dikatakan HOAX padahal beliau ikut dalam penguburannya,dhemit is back anies ikut dalam menguburkan harun tahun ada beritanya itu  apakah masih dikatakan hoax padahal beliau ikut dalam penguburannya,"['dhemit', 'is', 'back', 'anies', 'ikut', 'dalam', 'menguburkan', 'harun', 'tahun', 'ada', 'beritanya', 'itu', 'apakah', 'masih', 'dikatakan', 'hoax', 'padahal', 'beliau', 'ikut', 'dalam', 'penguburannya']","['dhemit', 'is', 'back', 'anies', 'ikut', 'dalam', 'kubur', 'harun', 'tahun', 'ada', 'berita', 'itu', 'apakah', 'masih', 'kata', 'hoax', 'padahal', 'beliau', 'ikut', 'dalam', 'kubur']",dhemit is back anies ikut dalam kubur harun tahun ada berita itu apakah masih kata hoax padahal beliau ikut dalam kubur,"['dhemit', 'is', 'back', 'anies', 'ikut', 'dalam', 'kubur', 'harun', 'tahun', 'ada', 'berita', 'itu', 'apakah', 'masih', 'kata', 'hoax', 'padahal', 'beliau', 'ikut', 'dalam', 'kubur']","['dhemit', 'is', 'kembali', 'anies', 'ikut', 'dalam', 'kubur', 'harun', 'tahun', 'ada', 'berita', 'itu', 'apakah', 'masih', 'kata', 'isu bohong', 'padahal', 'beliau', 'ikut', 'dalam', 'kubur']","['dhemit', 'is', 'anies', 'kubur', 'harun', 'berita', 'isu bohong', 'beliau', 'kubur']",dhemit is anies kubur harun berita isu bohong beliau kubur,dhemit is anies grave harun news issue lies his grave,negative
21,Fri Dec 15 04:03:24 +0000 2023,1.735510845860549e+18,"@Dahnilanzar karakter wowo vs anies jauhlah lah bang....mbok legowo aja..Anies dapat simpati publik meluas sedang wowo sebaliknya.....sesederhana itu dipahaminya....jgn sampai kita jd parasocial relationship disorder""""",0.0,0,0.0,0.0,in,1.238501999567487e+18,1.735228668971254e+18,ahmadba83911331,https://twitter.com/ahmadba83911331/status/1735510845860549115,Dahnilanzar karakter wowo vs anies jauhlah lah bang mbok legowo aja  Anies dapat simpati publik meluas sedang wowo sebaliknya sesederhana itu dipahaminya jgn sampai kita jd parasocial relationship disorder,Dahnilanzar karakter wowo vs anies jauhlah lah bang    mbok legowo aja  Anies dapat simpati publik meluas sedang wowo sebaliknya     sesederhana itu dipahaminya    jgn sampai kita jd parasocial relationship disorder,dahnilanzar karakter wowo vs anies jauhlah lah bang mbok legowo aja  anies dapat simpati publik meluas sedang wowo sebaliknya sesederhana itu dipahaminya jgn sampai kita jd parasocial relationship disorder,"['dahnilanzar', 'karakter', 'wowo', 'vs', 'anies', 'jauhlah', 'lah', 'bang', 'mbok', 'legowo', 'aja', 'anies', 'dapat', 'simpati', 'publik', 'meluas', 'sedang', 'wowo', 'sebaliknya', 'sesederhana', 'itu', 'dipahaminya', 'jgn', 'sampai', 'kita', 'jd', 'parasocial', 'relationship', 'disorder']","['dahnilanzar', 'karakter', 'wowo', 'vs', 'anies', 'jauh', 'lah', 'bang', 'mbok', 'legowo', 'aja', 'anies', 'dapat', 'simpati', 'publik', 'luas', 'sedang', 'wowo', 'balik', 'sederhana', 'itu', 'paham', 'jgn', 'sampai', 'kita', 'jd', 'parasocial', 'relationship', 'disorder']",dahnilanzar karakter wowo vs anies jauh lah bang mbok legowo aja anies dapat simpati publik luas sedang wowo balik sederhana itu paham jgn sampai kita jd parasocial relationship disorder,"['dahnilanzar', 'karakter', 'wowo', 'vs', 'anies', 'jauh', 'lah', 'bang', 'mbok', 'legowo', 'aja', 'anies', 'dapat', 'simpati', 'publik', 'luas', 'sedang', 'wowo', 'balik', 'sederhana', 'itu', 'paham', 'jgn', 'sampai', 'kita', 'jd', 'parasocial', 'relationship', 'disorder']","['dahnilanzar', 'karakter', 'wowo', 'vs', 'anies', 'jauh', 'lah', 'bang', 'mbok', 'legowo', 'saja', 'anies', 'dapat', 'simpati', 'publik', 'luas', 'sedang', 'wowo', 'balik', 'sederhana', 'itu', 'paham', 'jangan', 'sampai', 'kita', 'jadi', 'parasocial', 'relationship', 'disorder']","['dahnilanzar', 'karakter', 'wowo', 'vs', 'anies', 'bang', 'mbok', 'legowo', 'anies', 'simpati', 'publik', 'luas', 'wowo', 'sederhana', 'paham', 'parasocial', 'relationship', 'disorder']",dahnilanzar karakter wowo vs anies bang mbok legowo anies simpati publik luas wowo sederhana paham parasocial relationship disorder,dahnilanzar character wowo vs anies bang mbok legowo anies wide public sympathy wowo simple understand parasocial relationship disorder,negative
29,Fri Dec 15 04:03:01 +0000 2023,1.7355107496137897e+18,"@ndaphie8 @ekowboy2 Anies angkat alis nggak ada,dan nggak pernah yg ada itu menggunakan fakedeep AI🤣🤣🤣🤣dasar para buzzer polri sukanya buat fitnah",0.0,0,0.0,0.0,in,3006251442.0,1.7352420898884652e+18,zainalarifin083,https://twitter.com/zainalarifin083/status/1735510749613789569,ndaphie ekowboy  Anies angkat alis nggak ada dan nggak pernah yg ada itu menggunakan fakedeep AIdasar para buzzer polri sukanya buat fitnah,ndaphie   ekowboy  Anies angkat alis nggak ada dan nggak pernah yg ada itu menggunakan fakedeep AIdasar para buzzer polri sukanya buat fitnah,ndaphie ekowboy  anies angkat alis nggak ada dan nggak pernah yg ada itu menggunakan fakedeep aidasar para buzzer polri sukanya buat fitnah,"['ndaphie', 'ekowboy', 'anies', 'angkat', 'alis', 'nggak', 'ada', 'dan', 'nggak', 'pernah', 'yg', 'ada', 'itu', 'menggunakan', 'fakedeep', 'aidasar', 'para', 'buzzer', 'polri', 'sukanya', 'buat', 'fitnah']","['ndaphie', 'ekowboy', 'anies', 'angkat', 'alis', 'nggak', 'ada', 'dan', 'nggak', 'pernah', 'yg', 'ada', 'itu', 'guna', 'fakedeep', 'aidasar', 'para', 'buzzer', 'polri', 'suka', 'buat', 'fitnah']",ndaphie ekowboy anies angkat alis nggak ada dan nggak pernah yg ada itu guna fakedeep aidasar para buzzer polri suka buat fitnah,"['ndaphie', 'ekowboy', 'anies', 'angkat', 'alis', 'nggak', 'ada', 'dan', 'nggak', 'pernah', 'yg', 'ada', 'itu', 'guna', 'fakedeep', 'aidasar', 'para', 'buzzer', 'polri', 'suka', 'buat', 'fitnah']","['ndaphie', 'ekowboy', 'anies', 'angkat', 'alis', 'tidak', 'ada', 'dan', 'tidak', 'pernah', 'yang', 'ada', 'itu', 'guna', 'fakedeep', 'aidasar', 'para', 'buzzer', 'polri', 'suka', 'buat', 'fitnah']","['ndaphie', 'ekowboy', 'anies', 'angkat', 'alis', 'fakedeep', 'aidasar', 'buzzer', 'polri', 'suka', 'fitnah']",ndaphie ekowboy anies angkat alis fakedeep aidasar buzzer polri suka fitnah,daphnie ekowboy anies raises eyebrows fake deep basic buzzer police like slander,negative
38,Fri Dec 15 04:02:40 +0000 2023,1.7355106603255565e+18,"@Tan_Mar3M BuzzerRp paslon no 2 sudah kehabisan akal &amp  narasi untuk serang ANIES, makanya pakai methode Fitnah recehan.",0.0,0,0.0,0.0,in,518191393.0,1.7355037803960325e+18,antaz345,https://twitter.com/antaz345/status/1735510660325556444,Tan Mar BuzzerRp paslon no sudah kehabisan akal &amp  narasi untuk serang ANIES  makanya pakai methode Fitnah recehan,Tan Mar   BuzzerRp paslon no   sudah kehabisan akal &amp  narasi untuk serang ANIES  makanya pakai methode Fitnah recehan,tan mar buzzerrp paslon no sudah kehabisan akal &amp  narasi untuk serang anies  makanya pakai methode fitnah recehan,"['tan', 'mar', 'buzzerrp', 'paslon', 'no', 'sudah', 'kehabisan', 'akal', '&', 'amp', 'narasi', 'untuk', 'serang', 'anies', 'makanya', 'pakai', 'methode', 'fitnah', 'recehan']","['tan', 'mar', 'buzzerrp', 'paslon', 'no', 'sudah', 'habis', 'akal', '', 'amp', 'narasi', 'untuk', 'serang', 'anies', 'makanya', 'pakai', 'methode', 'fitnah', 'receh']",tan mar buzzerrp paslon no sudah habis akal  amp narasi untuk serang anies makanya pakai methode fitnah receh,"['tan', 'mar', 'buzzerrp', 'paslon', 'no', 'sudah', 'habis', 'akal', '', 'amp', 'narasi', 'untuk', 'serang', 'anies', 'makanya', 'pakai', 'methode', 'fitnah', 'receh']","['tan', 'mar', 'buzzerrp', 'paslon', 'no', 'sudah', 'habis', 'akal', '', 'amp', 'narasi', 'untuk', 'serang', 'anies', 'makanya', 'pakai', 'methode', 'fitnah', 'receh']","['tan', 'mar', 'buzzerrp', 'paslon', 'no', 'habis', 'akal', '', 'amp', 'narasi', 'serang', 'anies', 'pakai', 'methode', 'fitnah', 'receh']",tan mar buzzerrp paslon no habis akal  amp narasi serang anies pakai methode fitnah receh,tan mar buzzerrp paslon no out of mind amp narrative attacks Anies using dime slander method,negative
40,Fri Dec 15 04:02:25 +0000 2023,1.735510596609868e+18,@geloraco Foodeatate gagal.. pesawat tempur rongsokan..hutang Kemenhan trilyunan adalah bentuk kebengisan pada 270 juta lebih rakyat Indonesia. Saya sarankan tim TKN tolong banyak² bercermin sebelum menyerang pak Anies. Akhlak kalian sudah pada benar ya.,0.0,0,0.0,0.0,in,1.6260703421324452e+18,1.7354736067744358e+18,UmmiYusniar,https://twitter.com/UmmiYusniar/status/1735510596609867946,geloraco Foodeatate gagal pesawat tempur rongsokan  hutang Kemenhan trilyunan adalah bentuk kebengisan pada juta lebih rakyat Indonesia  Saya sarankan tim TKN tolong banyak bercermin sebelum menyerang pak Anies  Akhlak kalian sudah pada benar ya,geloraco Foodeatate gagal   pesawat tempur rongsokan  hutang Kemenhan trilyunan adalah bentuk kebengisan pada   juta lebih rakyat Indonesia  Saya sarankan tim TKN tolong banyak bercermin sebelum menyerang pak Anies  Akhlak kalian sudah pada benar ya,geloraco foodeatate gagal pesawat tempur rongsokan  hutang kemenhan trilyunan adalah bentuk kebengisan pada juta lebih rakyat indonesia  saya sarankan tim tkn tolong banyak bercermin sebelum menyerang pak anies  akhlak kalian sudah pada benar ya,"['geloraco', 'foodeatate', 'gagal', 'pesawat', 'tempur', 'rongsokan', 'hutang', 'kemenhan', 'trilyunan', 'adalah', 'bentuk', 'kebengisan', 'pada', 'juta', 'lebih', 'rakyat', 'indonesia', 'saya', 'sarankan', 'tim', 'tkn', 'tolong', 'banyak', 'bercermin', 'sebelum', 'menyerang', 'pak', 'anies', 'akhlak', 'kalian', 'sudah', 'pada', 'benar', 'ya']","['geloraco', 'foodeatate', 'gagal', 'pesawat', 'tempur', 'rongsok', 'hutang', 'kemenhan', 'trilyunan', 'adalah', 'bentuk', 'bengis', 'pada', 'juta', 'lebih', 'rakyat', 'indonesia', 'saya', 'saran', 'tim', 'tkn', 'tolong', 'banyak', 'cermin', 'belum', 'serang', 'pak', 'anies', 'akhlak', 'kalian', 'sudah', 'pada', 'benar', 'ya']",geloraco foodeatate gagal pesawat tempur rongsok hutang kemenhan trilyunan adalah bentuk bengis pada juta lebih rakyat indonesia saya saran tim tkn tolong banyak cermin belum serang pak anies akhlak kalian sudah pada benar ya,"['geloraco', 'foodeatate', 'gagal', 'pesawat', 'tempur', 'rongsok', 'hutang', 'kemenhan', 'trilyunan', 'adalah', 'bentuk', 'bengis', 'pada', 'juta', 'lebih', 'rakyat', 'indonesia', 'saya', 'saran', 'tim', 'tkn', 'tolong', 'banyak', 'cermin', 'belum', 'serang', 'pak', 'anies', 'akhlak', 'kalian', 'sudah', 'pada', 'benar', 'ya']","['geloraco', 'foodeatate', 'gagal', 'pesawat', 'tempur', 'rongsok', 'hutang', 'kemenhan', 'trilyunan', 'adalah', 'bentuk', 'bengis', 'pada', 'juta', 'lebih', 'rakyat', 'indonesia', 'saya', 'saran', 'tim', 'tkn', 'tolong', 'banyak', 'cermin', 'belum', 'serang', 'pak', 'anies', 'akhlak', 'kalian', 'sudah', 'pada', 'benar', 'iya']","['geloraco', 'foodeatate', 'gagal', 'pesawat', 'tempur', 'rongsok', 'hutang', 'kemenhan', 'trilyunan', 'bentuk', 'bengis', 'juta', 'rakyat', 'indonesia', 'saran', 'tim', 'tkn', 'tolong', 'cermin', 'serang', 'anies', 'akhlak', 'iya']",geloraco foodeatate gagal pesawat tempur rongsok hutang kemenhan trilyunan bentuk bengis juta rakyat indonesia saran tim tkn tolong cermin serang anies akhlak iya,geloraco food estate failed fighter plane wrecked debt ministry of defense trillions cruel forms of millions of Indonesian people suggestions from the tkn team please mirror attack anies morals yes,negative
