Unnamed: 0,created_at,id_str,full_text,quote_count,reply_count,retweet_count,favorite_count,lang,user_id_str,conversation_id_str,username,tweet_url,cleansing,remove_emojis,case_folding,tokenizing,stemming_list,stemming,negation,formalization,stopword_list,stopword_removal,english_comment,vader_sentiment
0,Fri Dec 15 04:04:44 +0000 2023,1.7355111797816568e+18,"@dedy_pram Pastilah, Prabowo Anies nggak punya prestasi...",0.0,0,0.0,0.0,in,7.977614178940518e+17,1.7351471247347878e+18,MarahIchsan,https://twitter.com/MarahIchsan/status/1735511179781656951,dedy pram Pastilah  Prabowo Anies nggak punya prestasi,dedy pram Pastilah  Prabowo Anies nggak punya prestasi,dedy pram pastilah  prabowo anies nggak punya prestasi,"['dedy', 'pram', 'pastilah', 'prabowo', 'anies', 'nggak', 'punya', 'prestasi']","['dedy', 'pram', 'pasti', 'prabowo', 'anies', 'nggak', 'punya', 'prestasi']",dedy pram pasti prabowo anies nggak punya prestasi,"['dedy', 'pram', 'pasti', 'prabowo', 'anies', 'nggak', 'punya', 'prestasi']","['dedy', 'pram', 'pasti', 'prabowo', 'anies', 'tidak', 'punya', 'prestasi']","['dedy', 'pram', 'prabowo', 'anies', 'prestasi']",dedy pram prabowo anies prestasi,dedy pram prabowo anies achievements,neutral
1,Fri Dec 15 04:04:33 +0000 2023,1.7355111362028134e+18,Suasana pedesaan memang selalu menyenangkan... udara segar dengan rimbunnya tumbuhan hijau... sungai jernih penuh ikan-ikan kecil sampai besar yg menarik ...  Angin Dieng yg Gacoan Adidas Semalem bukan Ordal Anies https://t.co/7BXHMzo2Kn,0.0,0,0.0,0.0,in,9.3644540960546e+17,1.7355111362028134e+18,Agung_wiyo,https://twitter.com/Agung_wiyo/status/1735511136202813536,Suasana pedesaan memang selalu menyenangkan udara segar dengan rimbunnya tumbuhan hijau sungai jernih penuh ikan ikan kecil sampai besar yg menarik Angin Dieng yg Gacoan Adidas Semalem bukan Ordal Anies,Suasana pedesaan memang selalu menyenangkan    udara segar dengan rimbunnya tumbuhan hijau    sungai jernih penuh ikan ikan kecil sampai besar yg menarik      Angin Dieng yg Gacoan Adidas Semalem bukan Ordal Anies,suasana pedesaan memang selalu menyenangkan udara segar dengan rimbunnya tumbuhan hijau sungai jernih penuh ikan ikan kecil sampai besar yg menarik angin dieng yg gacoan adidas semalem bukan ordal anies,"['suasana', 'pedesaan', 'memang', 'selalu', 'menyenangkan', 'udara', 'segar', 'dengan', 'rimbunnya', 'tumbuhan', 'hijau', 'sungai', 'jernih', 'penuh', 'ikan', 'ikan', 'kecil', 'sampai', 'besar', 'yg', 'menarik', 'angin', 'dieng', 'yg', 'gacoan', 'adidas', 'semalem', 'bukan', 'ordal', 'anies']","['suasana', 'desa', 'memang', 'selalu', 'senang', 'udara', 'segar', 'dengan', 'rimbun', 'tumbuh', 'hijau', 'sungai', 'jernih', 'penuh', 'ikan', 'ikan', 'kecil', 'sampai', 'besar', 'yg', 'tarik', 'angin', 'dieng', 'yg', 'gaco', 'adidas', 'semalem', 'bukan', 'ordal', 'anies']",suasana desa memang selalu senang udara segar dengan rimbun tumbuh hijau sungai jernih penuh ikan ikan kecil sampai besar yg tarik angin dieng yg gaco adidas semalem bukan ordal anies,"['suasana', 'desa', 'memang', 'selalu', 'senang', 'udara', 'segar', 'dengan', 'rimbun', 'tumbuh', 'hijau', 'sungai', 'jernih', 'penuh', 'ikan', 'ikan', 'kecil', 'sampai', 'besar', 'yg', 'tarik', 'angin', 'dieng', 'yg', 'gaco', 'adidas', 'semalem', 'tidak_ordal', 'anies']","['suasana', 'desa', 'memang', 'selalu', 'senang', 'udara', 'segar', 'dengan', 'rimbun', 'tumbuh', 'hijau', 'sungai', 'jernih', 'penuh', 'ikan', 'ikan', 'kecil', 'sampai', 'besar', 'yang', 'tarik', 'angin', 'dieng', 'yang', 'gaco', 'adidas', 'malam', 'tidak_ordal', 'anies']","['suasana', 'desa', 'senang', 'udara', 'segar', 'rimbun', 'tumbuh', 'hijau', 'sungai', 'jernih', 'penuh', 'ikan', 'ikan', 'tarik', 'angin', 'dieng', 'gaco', 'adidas', 'malam', 'tidak', 'ordal', 'anies']",suasana desa senang udara segar rimbun tumbuh hijau sungai jernih penuh ikan ikan tarik angin dieng gaco adidas malam tidak ordal anies,happy village atmosphere fresh air lush green growth clear river full of fish pull the wind dieng gaco adidas night not ordal anies,positive
2,Fri Dec 15 04:04:31 +0000 2023,1.7355111275248517e+18,Program anies hanyalah mengubah nama rumah sakit se Indonesia wkwk!!  JUNGKOOK IS COMING olivia Gacoan Daesang BANGTAN DEBUT Karina #BABYMONSTER #DeathsGame Wonbin BATTER UP 100M VIEWS https://t.co/q63OMtb3Ka,0.0,0,0.0,0.0,in,768652236.0,1.7355111275248517e+18,Alfakton_i,https://twitter.com/Alfakton_i/status/1735511127524851742,Program anies hanyalah mengubah nama rumah sakit se Indonesia wkwk JUNGKOOK IS COMING olivia Gacoan Daesang BANGTAN DEBUT Karina Wonbin BATTER UP VIEWS,Program anies hanyalah mengubah nama rumah sakit se Indonesia wkwk    JUNGKOOK IS COMING olivia Gacoan Daesang BANGTAN DEBUT Karina     Wonbin BATTER UP    VIEWS,program anies hanyalah mengubah nama rumah sakit se indonesia wkwk jungkook is coming olivia gacoan daesang bangtan debut karina wonbin batter up views,"['program', 'anies', 'hanyalah', 'mengubah', 'nama', 'rumah', 'sakit', 'se', 'indonesia', 'wkwk', 'jungkook', 'is', 'coming', 'olivia', 'gacoan', 'daesang', 'bangtan', 'debut', 'karina', 'wonbin', 'batter', 'up', 'views']","['program', 'anies', 'hanya', 'ubah', 'nama', 'rumah', 'sakit', 'se', 'indonesia', 'wkwk', 'jungkook', 'is', 'coming', 'olivia', 'gaco', 'daesang', 'bangtan', 'debut', 'karina', 'wonbin', 'batter', 'up', 'views']",program anies hanya ubah nama rumah sakit se indonesia wkwk jungkook is coming olivia gaco daesang bangtan debut karina wonbin batter up views,"['program', 'anies', 'hanya', 'ubah', 'nama', 'rumah', 'sakit', 'se', 'indonesia', 'wkwk', 'jungkook', 'is', 'coming', 'olivia', 'gaco', 'daesang', 'bangtan', 'debut', 'karina', 'wonbin', 'batter', 'up', 'views']","['program', 'anies', 'hanya', 'ubah', 'nama', 'rumah', 'sakit', 'se', 'indonesia', 'tertawa', 'jungkook', 'is', 'coming', 'olivia', 'gaco', 'daesang', 'bangtan', 'debut', 'karina', 'wonbin', 'batter', 'up', 'views']","['program', 'anies', 'ubah', 'nama', 'rumah', 'sakit', 'indonesia', 'tertawa', 'jungkook', 'is', 'coming', 'olivia', 'gaco', 'daesang', 'bangtan', 'debut', 'karina', 'wonbin', 'batter', 'up', 'views']",program anies ubah nama rumah sakit indonesia tertawa jungkook is coming olivia gaco daesang bangtan debut karina wonbin batter up views,anies program changes name of indonesian hospital laughing jungkook is coming olivia gaco daesang bangtan debut karina wonbin batter up views,positive
3,Fri Dec 15 04:04:27 +0000 2023,1.735511110340825e+18,@kumparan @aniesbaswedan anies... BERBOHONG DAN NIPU TANPA RASA BERSALAH,0.0,0,0.0,0.0,in,1.7108239092754104e+18,1.7351458618969254e+18,justtheway333,https://twitter.com/justtheway333/status/1735511110340825410,kumparan  aniesbaswedan anies BERBOHONG DAN NIPU TANPA RASA BERSALAH,kumparan  aniesbaswedan anies    BERBOHONG DAN NIPU TANPA RASA BERSALAH,kumparan  aniesbaswedan anies berbohong dan nipu tanpa rasa bersalah,"['kumparan', 'aniesbaswedan', 'anies', 'berbohong', 'dan', 'nipu', 'tanpa', 'rasa', 'bersalah']","['kumpar', 'aniesbaswedan', 'anies', 'bohong', 'dan', 'nipu', 'tanpa', 'rasa', 'salah']",kumpar aniesbaswedan anies bohong dan nipu tanpa rasa salah,"['kumpar', 'aniesbaswedan', 'anies', 'bohong', 'dan', 'nipu', 'tanpa', 'rasa', 'salah']","['kumpar', 'aniesbaswedan', 'anies', 'bohong', 'dan', 'tipu', 'tanpa', 'rasa', 'salah']","['kumpar', 'aniesbaswedan', 'anies', 'bohong', 'tipu', 'salah']",kumpar aniesbaswedan anies bohong tipu salah,Kumpar Aniesbaswedan Anies lied and lied wrongly,negative
4,Fri Dec 15 04:04:26 +0000 2023,1.73551110563054e+18,Tidak Bicara Sesuai Fakta! Anies Dengan Lantang Sebut Lampung Tidak Mempunyai Alat Pemantau Polusi Udara   Gacoan | Anies | gempa | Daesang | Pagii | BATTER UP 100M VIEWS | pilihan terbaik | #SUHOinAAA | #NightHasComeEp8 | #NCTDREAMxSALMASALSABIL https://t.co/9ubCGtY30v,0.0,0,1.0,1.0,in,1.6617573375547845e+18,1.7355111030468936e+18,singgihabdrchmn,https://twitter.com/singgihabdrchmn/status/1735511105630540090,Tidak Bicara Sesuai Fakta  Anies Dengan Lantang Sebut Lampung Tidak Mempunyai Alat Pemantau Polusi Udara Gacoan Anies gempa Daesang Pagii BATTER UP VIEWS pilihan terbaik,Tidak Bicara Sesuai Fakta  Anies Dengan Lantang Sebut Lampung Tidak Mempunyai Alat Pemantau Polusi Udara   Gacoan   Anies   gempa   Daesang   Pagii   BATTER UP    VIEWS   pilihan terbaik,tidak bicara sesuai fakta  anies dengan lantang sebut lampung tidak mempunyai alat pemantau polusi udara gacoan anies gempa daesang pagii batter up views pilihan terbaik,"['tidak', 'bicara', 'sesuai', 'fakta', 'anies', 'dengan', 'lantang', 'sebut', 'lampung', 'tidak', 'mempunyai', 'alat', 'pemantau', 'polusi', 'udara', 'gacoan', 'anies', 'gempa', 'daesang', 'pagii', 'batter', 'up', 'views', 'pilihan', 'terbaik']","['tidak', 'bicara', 'sesuai', 'fakta', 'anies', 'dengan', 'lantang', 'sebut', 'lampung', 'tidak', 'punya', 'alat', 'pantau', 'polusi', 'udara', 'gaco', 'anies', 'gempa', 'daesang', 'pagi', 'batter', 'up', 'views', 'pilih', 'baik']",tidak bicara sesuai fakta anies dengan lantang sebut lampung tidak punya alat pantau polusi udara gaco anies gempa daesang pagi batter up views pilih baik,"['tidak_bicara', 'sesuai', 'fakta', 'anies', 'dengan', 'lantang', 'sebut', 'lampung', 'tidak_punya', 'alat', 'pantau', 'polusi', 'udara', 'gaco', 'anies', 'gempa', 'daesang', 'pagi', 'batter', 'up', 'views', 'pilih', 'baik']","['tidak_bicara', 'sesuai', 'fakta', 'anies', 'dengan', 'lantang', 'sebut', 'lampung', 'tidak_punya', 'alat', 'pantau', 'polusi', 'udara', 'gaco', 'anies', 'gempa', 'daesang', 'pagi', 'batter', 'up', 'views', 'pilih', 'baik']","['tidak', 'bicara', 'sesuai', 'fakta', 'anies', 'lantang', 'lampung', 'tidak', 'punya', 'alat', 'pantau', 'polusi', 'udara', 'gaco', 'anies', 'gempa', 'daesang', 'pagi', 'batter', 'up', 'views', 'pilih']",tidak bicara sesuai fakta anies lantang lampung tidak punya alat pantau polusi udara gaco anies gempa daesang pagi batter up views pilih,doesn't speak according to the facts,neutral
5,Fri Dec 15 04:04:25 +0000 2023,1.7355111030468936e+18,"Prabowo Sindir Anies Baswedan: APBD Paling Besar, Tapi Kok Mas Anies Gagal Memimpin Jakarta!  Gacoan | Anies | gempa | Daesang | Pagii | BATTER UP 100M VIEWS | pilihan terbaik | #SUHOinAAA | #NightHasComeEp8 | #NCTDREAMxSALMASALSABIL https://t.co/5ftxD8kCsB",0.0,1,1.0,1.0,in,1.6617573375547845e+18,1.7355111030468936e+18,singgihabdrchmn,https://twitter.com/singgihabdrchmn/status/1735511103046893580,Prabowo Sindir Anies Baswedan  APBD Paling Besar  Tapi Kok Mas Anies Gagal Memimpin Jakarta Gacoan Anies gempa Daesang Pagii BATTER UP VIEWS pilihan terbaik,Prabowo Sindir Anies Baswedan  APBD Paling Besar  Tapi Kok Mas Anies Gagal Memimpin Jakarta   Gacoan   Anies   gempa   Daesang   Pagii   BATTER UP    VIEWS   pilihan terbaik,prabowo sindir anies baswedan  apbd paling besar  tapi kok mas anies gagal memimpin jakarta gacoan anies gempa daesang pagii batter up views pilihan terbaik,"['prabowo', 'sindir', 'anies', 'baswedan', 'apbd', 'paling', 'besar', 'tapi', 'kok', 'mas', 'anies', 'gagal', 'memimpin', 'jakarta', 'gacoan', 'anies', 'gempa', 'daesang', 'pagii', 'batter', 'up', 'views', 'pilihan', 'terbaik']","['prabowo', 'sindir', 'anies', 'baswedan', 'apbd', 'paling', 'besar', 'tapi', 'kok', 'mas', 'anies', 'gagal', 'pimpin', 'jakarta', 'gaco', 'anies', 'gempa', 'daesang', 'pagi', 'batter', 'up', 'views', 'pilih', 'baik']",prabowo sindir anies baswedan apbd paling besar tapi kok mas anies gagal pimpin jakarta gaco anies gempa daesang pagi batter up views pilih baik,"['prabowo', 'sindir', 'anies', 'baswedan', 'apbd', 'paling', 'besar', 'tapi', 'kok', 'mas', 'anies', 'gagal', 'pimpin', 'jakarta', 'gaco', 'anies', 'gempa', 'daesang', 'pagi', 'batter', 'up', 'views', 'pilih', 'baik']","['prabowo', 'sindir', 'anies', 'baswedan', 'anggaran pendapatan dan belanja daerah', 'paling', 'besar', 'tapi', 'kok', 'mas', 'anies', 'gagal', 'pimpin', 'jakarta', 'gaco', 'anies', 'gempa', 'daesang', 'pagi', 'batter', 'up', 'views', 'pilih', 'baik']","['prabowo', 'sindir', 'anies', 'baswedan', 'anggaran pendapatan dan belanja daerah', 'mas', 'anies', 'gagal', 'pimpin', 'jakarta', 'gaco', 'anies', 'gempa', 'daesang', 'pagi', 'batter', 'up', 'views', 'pilih']",prabowo sindir anies baswedan anggaran pendapatan dan belanja daerah mas anies gagal pimpin jakarta gaco anies gempa daesang pagi batter up views pilih,Prabowo insinuates Anies Baswedan Mas Anies regional income and expenditure budget fails to lead Jakarta Gaco Anies Daesang earthquake morning batter up views vote,negative
6,Fri Dec 15 04:04:15 +0000 2023,1.7355110599252298e+18,"@hasyimmah Alesan harus jelas dan pak anies sudah menjelaskan sejelas jelas nya,masih engga paham?dungu berarti",0.0,0,0.0,1.0,in,3157194798.0,1.735191540715459e+18,7f33229758ab489,https://twitter.com/7f33229758ab489/status/1735511059925229872,hasyimmah Alesan harus jelas dan pak anies sudah menjelaskan sejelas jelas nya masih engga paham dungu berarti,hasyimmah Alesan harus jelas dan pak anies sudah menjelaskan sejelas jelas nya masih engga paham dungu berarti,hasyimmah alesan harus jelas dan pak anies sudah menjelaskan sejelas jelas nya masih engga paham dungu berarti,"['hasyimmah', 'alesan', 'harus', 'jelas', 'dan', 'pak', 'anies', 'sudah', 'menjelaskan', 'sejelas', 'jelas', 'nya', 'masih', 'engga', 'paham', 'dungu', 'berarti']","['hasyimmah', 'alesan', 'harus', 'jelas', 'dan', 'pak', 'anies', 'sudah', 'jelas', 'jelas', 'jelas', 'nya', 'masih', 'engga', 'paham', 'dungu', 'arti']",hasyimmah alesan harus jelas dan pak anies sudah jelas jelas jelas nya masih engga paham dungu arti,"['hasyimmah', 'alesan', 'harus', 'jelas', 'dan', 'pak', 'anies', 'sudah', 'jelas', 'jelas', 'jelas', 'nya', 'masih', 'engga', 'paham', 'dungu', 'arti']","['hasyimmah', 'alasan', 'harus', 'jelas', 'dan', 'pak', 'anies', 'sudah', 'jelas', 'jelas', 'jelas', 'nya', 'masih', 'engga', 'paham', 'dungu', 'arti']","['hasyimmah', 'alasan', 'anies', 'nya', 'engga', 'paham', 'dungu', 'arti']",hasyimmah alasan anies nya engga paham dungu arti,Hasyimmah's excuse is that Anies doesn't understand the meaning of stupid,negative
7,Fri Dec 15 04:04:13 +0000 2023,1.7355110493220255e+18,@brochandra @ainunnajib Wow mantap sekali. Apakah ini artinya bro Anies akan menjadi presiden RI?,0.0,0,0.0,0.0,in,353739058.0,1.7354527500022172e+18,MisterMarmut,https://twitter.com/MisterMarmut/status/1735511049322025409,brochandra  ainunnajib Wow mantap sekali  Apakah ini artinya bro Anies akan menjadi presiden RI,brochandra  ainunnajib Wow mantap sekali  Apakah ini artinya bro Anies akan menjadi presiden RI,brochandra  ainunnajib wow mantap sekali  apakah ini artinya bro anies akan menjadi presiden ri,"['brochandra', 'ainunnajib', 'wow', 'mantap', 'sekali', 'apakah', 'ini', 'artinya', 'bro', 'anies', 'akan', 'menjadi', 'presiden', 'ri']","['brochandra', 'ainunnajib', 'wow', 'mantap', 'sekali', 'apakah', 'ini', 'arti', 'bro', 'anies', 'akan', 'jadi', 'presiden', 'ri']",brochandra ainunnajib wow mantap sekali apakah ini arti bro anies akan jadi presiden ri,"['brochandra', 'ainunnajib', 'wow', 'mantap', 'sekali', 'apakah', 'ini', 'arti', 'bro', 'anies', 'akan', 'jadi', 'presiden', 'ri']","['brochandra', 'ainunnajib', 'wow', 'mantap', 'sekali', 'apakah', 'ini', 'arti', 'saudara laki laki', 'anies', 'akan', 'jadi', 'presiden', 'ri']","['brochandra', 'ainunnajib', 'wow', 'mantap', 'arti', 'saudara laki laki', 'anies', 'presiden', 'ri']",brochandra ainunnajib wow mantap arti saudara laki laki anies presiden ri,"bro Chandra Ainun Najib Wow, what a great brother, Anies, President of the Republic of Indonesia",positive
8,Fri Dec 15 04:04:12 +0000 2023,1.7355110487180452e+18,"@ajengcute16__ saya dulu belajar majas  kelas 8 SMP,saya paham apa yang dibilang pak anies. kalo yang ga paham mungkin belum mengenyam kelas 8.",0.0,0,0.0,0.0,in,1.410420836499067e+18,1.7351535910638144e+18,id_edx,https://twitter.com/id_edx/status/1735511048718045241,ajengcute saya dulu belajar majas  kelas SMP saya paham apa yang dibilang pak anies  kalo yang ga paham mungkin belum mengenyam kelas,ajengcute    saya dulu belajar majas  kelas   SMP saya paham apa yang dibilang pak anies  kalo yang ga paham mungkin belum mengenyam kelas,ajengcute saya dulu belajar majas  kelas smp saya paham apa yang dibilang pak anies  kalo yang ga paham mungkin belum mengenyam kelas,"['ajengcute', 'saya', 'dulu', 'belajar', 'majas', 'kelas', 'smp', 'saya', 'paham', 'apa', 'yang', 'dibilang', 'pak', 'anies', 'kalo', 'yang', 'ga', 'paham', 'mungkin', 'belum', 'mengenyam', 'kelas']","['ajengcute', 'saya', 'dulu', 'ajar', 'majas', 'kelas', 'smp', 'saya', 'paham', 'apa', 'yang', 'bilang', 'pak', 'anies', 'kalo', 'yang', 'ga', 'paham', 'mungkin', 'belum', 'kenyam', 'kelas']",ajengcute saya dulu ajar majas kelas smp saya paham apa yang bilang pak anies kalo yang ga paham mungkin belum kenyam kelas,"['ajengcute', 'saya', 'dulu', 'ajar', 'majas', 'kelas', 'smp', 'saya', 'paham', 'apa', 'yang', 'bilang', 'pak', 'anies', 'kalo', 'yang', 'tidak_paham', 'mungkin', 'belum', 'kenyam', 'kelas']","['ajengcute', 'saya', 'dulu', 'ajar', 'majas', 'kelas', 'smp', 'saya', 'paham', 'apa', 'yang', 'bilang', 'pak', 'anies', 'kalau', 'yang', 'tidak_paham', 'mungkin', 'belum', 'kenyam', 'kelas']","['ajengcute', 'ajar', 'majas', 'kelas', 'smp', 'paham', 'bilang', 'anies', 'tidak', 'paham', 'kenyam', 'kelas']",ajengcute ajar majas kelas smp paham bilang anies tidak paham kenyam kelas,ajengcute teaches junior high school class figures of speech to understand saying that Anies doesn't understand having a class,neutral
9,Fri Dec 15 04:04:03 +0000 2023,1.7355110081046203e+18,"@tvOneNews Kasian kiki, padahal itu fakta, memang si anies jago berkata kata saja demi menarik simpati, padahal implementasinya dijamin NOL. Cth waktu jd mentri dan gubernur aja, kerja nya standar banget. #AniesMuhaimin2024 #AMIN",0.0,0,0.0,0.0,in,1.5968643521746043e+18,1.7354652135358917e+18,bimasakti_2013,https://twitter.com/bimasakti_2013/status/1735511008104620433,tvOneNews Kasian kiki  padahal itu fakta  memang si anies jago berkata kata saja demi menarik simpati  padahal implementasinya dijamin NOL  Cth waktu jd mentri dan gubernur aja  kerja nya standar banget,tvOneNews Kasian kiki  padahal itu fakta  memang si anies jago berkata kata saja demi menarik simpati  padahal implementasinya dijamin NOL  Cth waktu jd mentri dan gubernur aja  kerja nya standar banget,tvonenews kasian kiki  padahal itu fakta  memang si anies jago berkata kata saja demi menarik simpati  padahal implementasinya dijamin nol  cth waktu jd mentri dan gubernur aja  kerja nya standar banget,"['tvonenews', 'kasian', 'kiki', 'padahal', 'itu', 'fakta', 'memang', 'si', 'anies', 'jago', 'berkata', 'kata', 'saja', 'demi', 'menarik', 'simpati', 'padahal', 'implementasinya', 'dijamin', 'nol', 'cth', 'waktu', 'jd', 'mentri', 'dan', 'gubernur', 'aja', 'kerja', 'nya', 'standar', 'banget']","['tvonenews', 'kasi', 'kiki', 'padahal', 'itu', 'fakta', 'memang', 'si', 'anies', 'jago', 'kata', 'kata', 'saja', 'demi', 'tarik', 'simpati', 'padahal', 'implementasi', 'jamin', 'nol', 'cth', 'waktu', 'jd', 'tri', 'dan', 'gubernur', 'aja', 'kerja', 'nya', 'standar', 'banget']",tvonenews kasi kiki padahal itu fakta memang si anies jago kata kata saja demi tarik simpati padahal implementasi jamin nol cth waktu jd tri dan gubernur aja kerja nya standar banget,"['tvonenews', 'kasi', 'kiki', 'padahal', 'itu', 'fakta', 'memang', 'si', 'anies', 'jago', 'kata', 'kata', 'saja', 'demi', 'tarik', 'simpati', 'padahal', 'implementasi', 'jamin', 'nol', 'cth', 'waktu', 'jd', 'tri', 'dan', 'gubernur', 'aja', 'kerja', 'nya', 'standar', 'banget']","['tvonenews', 'kasih', 'kiki', 'padahal', 'itu', 'fakta', 'memang', 'si', 'anies', 'jago', 'kata', 'kata', 'saja', 'demi', 'tarik', 'simpati', 'padahal', 'implementasi', 'jamin', 'nol', 'cth', 'waktu', 'jadi', 'tri', 'dan', 'gubernur', 'saja', 'kerja', 'nya', 'standar', 'banget']","['tvonenews', 'kasih', 'kiki', 'fakta', 'si', 'anies', 'jago', 'tarik', 'simpati', 'implementasi', 'jamin', 'nol', 'cth', 'tri', 'gubernur', 'kerja', 'nya', 'standar', 'banget']",tvonenews kasih kiki fakta si anies jago tarik simpati implementasi jamin nol cth tri gubernur kerja nya standar banget,"tvonenews gave us the fact that Anies is good at attracting sympathy in the implementation of the zero guarantee, for example, the Tri Governor's work is really standard",positive
