Unnamed: 0,created_at,id_str,full_text,quote_count,reply_count,retweet_count,favorite_count,lang,user_id_str,conversation_id_str,username,tweet_url,cleansing,remove_emojis,case_folding,tokenizing,stemming_list,stemming,negation,formalization,stopword_list,stopword_removal,english_comment,vader_sentiment
0,Fri Dec 15 10:31:40 +0000 2023,1735608555141730048,"Ganjar Pranowo dan Pak Mahfud MD, semoga kepemimpinan kalian memancarkan kehangatan seperti dalam keluarga. @titysl  GP 4Presiden https://t.co/MQtWaa6lbN",0,0,0,0,in,1690610120311589888,1735608555141730048,firdaraisyaa,https://twitter.com/firdaraisyaa/status/1735608555141734513,Ganjar Pranowo dan Pak Mahfud MD  semoga kepemimpinan kalian memancarkan kehangatan seperti dalam keluarga titysl  GP  Presiden,Ganjar Pranowo dan Pak Mahfud MD  semoga kepemimpinan kalian memancarkan kehangatan seperti dalam keluarga   titysl  GP  Presiden,ganjar pranowo dan pak mahfud md  semoga kepemimpinan kalian memancarkan kehangatan seperti dalam keluarga titysl  gp  presiden,"['ganjar', 'pranowo', 'dan', 'pak', 'mahfud', 'md', 'semoga', 'kepemimpinan', 'kalian', 'memancarkan', 'kehangatan', 'seperti', 'dalam', 'keluarga', 'titysl', 'gp', 'presiden']","['ganjar', 'pranowo', 'dan', 'pak', 'mahfud', 'md', 'moga', 'pimpin', 'kalian', 'pancar', 'hangat', 'seperti', 'dalam', 'keluarga', 'titysl', 'gp', 'presiden']",ganjar pranowo dan pak mahfud md moga pimpin kalian pancar hangat seperti dalam keluarga titysl gp presiden,"['ganjar', 'pranowo', 'dan', 'pak', 'mahfud', 'md', 'moga', 'pimpin', 'kalian', 'pancar', 'hangat', 'seperti', 'dalam', 'keluarga', 'titysl', 'gp', 'presiden']","['ganjar', 'pranowo', 'dan', 'pak', 'mahfud', 'md', 'moga', 'pimpin', 'kalian', 'pancar', 'hangat', 'seperti', 'dalam', 'keluarga', 'titysl', 'gp', 'presiden']","['ganjar', 'pranowo', 'mahfud', 'md', 'moga', 'pimpin', 'pancar', 'hangat', 'keluarga', 'titysl', 'gp', 'presiden']",ganjar pranowo mahfud md moga pimpin pancar hangat keluarga titysl gp presiden,Ganjar Pranowo Mahfud MD may you lead the warm glow of the Titysl GP President family,positive
1,Fri Dec 15 10:31:40 +0000 2023,1735608554323950080,"Ganjar Pranowo, gubernur yang bisa menjadi inspirasi dengan kemampuannya menyatukan seni dan politik. @bakulojek  GP 4Presiden https://t.co/VWsZvfsvkz",0,0,0,0,in,1691369523004489984,1735608554323950080,zaraauliaaia,https://twitter.com/zaraauliaaia/status/1735608554323951975,Ganjar Pranowo  gubernur yang bisa menjadi inspirasi dengan kemampuannya menyatukan seni dan politik bakulojek  GP  Presiden,Ganjar Pranowo  gubernur yang bisa menjadi inspirasi dengan kemampuannya menyatukan seni dan politik   bakulojek  GP  Presiden,ganjar pranowo  gubernur yang bisa menjadi inspirasi dengan kemampuannya menyatukan seni dan politik bakulojek  gp  presiden,"['ganjar', 'pranowo', 'gubernur', 'yang', 'bisa', 'menjadi', 'inspirasi', 'dengan', 'kemampuannya', 'menyatukan', 'seni', 'dan', 'politik', 'bakulojek', 'gp', 'presiden']","['ganjar', 'pranowo', 'gubernur', 'yang', 'bisa', 'jadi', 'inspirasi', 'dengan', 'mampu', 'satu', 'seni', 'dan', 'politik', 'bakulojek', 'gp', 'presiden']",ganjar pranowo gubernur yang bisa jadi inspirasi dengan mampu satu seni dan politik bakulojek gp presiden,"['ganjar', 'pranowo', 'gubernur', 'yang', 'bisa', 'jadi', 'inspirasi', 'dengan', 'mampu', 'satu', 'seni', 'dan', 'politik', 'bakulojek', 'gp', 'presiden']","['ganjar', 'pranowo', 'gubernur', 'yang', 'bisa', 'jadi', 'inspirasi', 'dengan', 'mampu', 'satu', 'seni', 'dan', 'politik', 'bakulojek', 'gp', 'presiden']","['ganjar', 'pranowo', 'gubernur', 'inspirasi', 'seni', 'politik', 'bakulojek', 'gp', 'presiden']",ganjar pranowo gubernur inspirasi seni politik bakulojek gp presiden,Ganjar Pranowo Governor political art inspiration Bakolojek GP President,positive
2,Fri Dec 15 10:31:39 +0000 2023,1735608552843259904,Kebersamaan Ganjar dan Mahfud sebagai tim adalah kunci keberhasilan untuk memajukan Indonesia. @urcutebaby_  GP 4Presiden https://t.co/D2MWaMbWrg,0,0,0,0,in,1690492185102400000,1735608552843259904,adamalvnto1,https://twitter.com/adamalvnto1/status/1735608552843264005,Kebersamaan Ganjar dan Mahfud sebagai tim adalah kunci keberhasilan untuk memajukan Indonesia urcutebaby GP  Presiden,Kebersamaan Ganjar dan Mahfud sebagai tim adalah kunci keberhasilan untuk memajukan Indonesia   urcutebaby   GP  Presiden,kebersamaan ganjar dan mahfud sebagai tim adalah kunci keberhasilan untuk memajukan indonesia urcutebaby gp  presiden,"['kebersamaan', 'ganjar', 'dan', 'mahfud', 'sebagai', 'tim', 'adalah', 'kunci', 'keberhasilan', 'untuk', 'memajukan', 'indonesia', 'urcutebaby', 'gp', 'presiden']","['sama', 'ganjar', 'dan', 'mahfud', 'bagai', 'tim', 'adalah', 'kunci', 'hasil', 'untuk', 'maju', 'indonesia', 'urcutebaby', 'gp', 'presiden']",sama ganjar dan mahfud bagai tim adalah kunci hasil untuk maju indonesia urcutebaby gp presiden,"['sama', 'ganjar', 'dan', 'mahfud', 'bagai', 'tim', 'adalah', 'kunci', 'hasil', 'untuk', 'maju', 'indonesia', 'urcutebaby', 'gp', 'presiden']","['sama', 'ganjar', 'dan', 'mahfud', 'bagai', 'tim', 'adalah', 'kunci', 'hasil', 'untuk', 'maju', 'indonesia', 'urcutebaby', 'gp', 'presiden']","['ganjar', 'mahfud', 'tim', 'kunci', 'hasil', 'maju', 'indonesia', 'urcutebaby', 'gp', 'presiden']",ganjar mahfud tim kunci hasil maju indonesia urcutebaby gp presiden,"Ganjar Mahfud, the key team for Indonesia's advanced results, Urcutebaby GP President",positive
3,Fri Dec 15 10:31:38 +0000 2023,1735608549248719872,Mengagumi betapa Mas Ganjar mampu menjaga keseimbangan antara tugas sebagai pemimpin dan peran sebagai kepala keluarga. @thvusergf  GP 4Presiden https://t.co/FDET6BxdUX,0,0,0,0,in,1689128132589329920,1735608549248719872,ZivaOktavia,https://twitter.com/ZivaOktavia/status/1735608549248729342,Mengagumi betapa Mas Ganjar mampu menjaga keseimbangan antara tugas sebagai pemimpin dan peran sebagai kepala keluarga thvusergf  GP  Presiden,Mengagumi betapa Mas Ganjar mampu menjaga keseimbangan antara tugas sebagai pemimpin dan peran sebagai kepala keluarga   thvusergf  GP  Presiden,mengagumi betapa mas ganjar mampu menjaga keseimbangan antara tugas sebagai pemimpin dan peran sebagai kepala keluarga thvusergf  gp  presiden,"['mengagumi', 'betapa', 'mas', 'ganjar', 'mampu', 'menjaga', 'keseimbangan', 'antara', 'tugas', 'sebagai', 'pemimpin', 'dan', 'peran', 'sebagai', 'kepala', 'keluarga', 'thvusergf', 'gp', 'presiden']","['kagum', 'betapa', 'mas', 'ganjar', 'mampu', 'jaga', 'imbang', 'antara', 'tugas', 'bagai', 'pimpin', 'dan', 'peran', 'bagai', 'kepala', 'keluarga', 'thvusergf', 'gp', 'presiden']",kagum betapa mas ganjar mampu jaga imbang antara tugas bagai pimpin dan peran bagai kepala keluarga thvusergf gp presiden,"['kagum', 'betapa', 'mas', 'ganjar', 'mampu', 'jaga', 'imbang', 'antara', 'tugas', 'bagai', 'pimpin', 'dan', 'peran', 'bagai', 'kepala', 'keluarga', 'thvusergf', 'gp', 'presiden']","['kagum', 'betapa', 'mas', 'ganjar', 'mampu', 'jaga', 'imbang', 'antara', 'tugas', 'bagai', 'pimpin', 'dan', 'peran', 'bagai', 'kepala', 'keluarga', 'thvusergf', 'gp', 'presiden']","['kagum', 'betapa', 'mas', 'ganjar', 'jaga', 'imbang', 'tugas', 'pimpin', 'peran', 'kepala', 'keluarga', 'thvusergf', 'gp', 'presiden']",kagum betapa mas ganjar jaga imbang tugas pimpin peran kepala keluarga thvusergf gp presiden,I'm amazed at how well Mas rewards maintaining a balance in the task of leading the role of head of the family thvusergf gp president,positive
4,Fri Dec 15 10:31:38 +0000 2023,1735608548602889984,Semoga Ganjar Pranowo dan Mahfud MD dapat membawa semangat kebersamaan ke dalam kebijakan nasional. @BilaMuktadin  GP 4Presiden https://t.co/lfbDGm2dL5,0,0,0,0,in,1688485501551160064,1735608548602889984,dindafiitriii,https://twitter.com/dindafiitriii/status/1735608548602892453,Semoga Ganjar Pranowo dan Mahfud MD dapat membawa semangat kebersamaan ke dalam kebijakan nasional BilaMuktadin  GP  Presiden,Semoga Ganjar Pranowo dan Mahfud MD dapat membawa semangat kebersamaan ke dalam kebijakan nasional   BilaMuktadin  GP  Presiden,semoga ganjar pranowo dan mahfud md dapat membawa semangat kebersamaan ke dalam kebijakan nasional bilamuktadin  gp  presiden,"['semoga', 'ganjar', 'pranowo', 'dan', 'mahfud', 'md', 'dapat', 'membawa', 'semangat', 'kebersamaan', 'ke', 'dalam', 'kebijakan', 'nasional', 'bilamuktadin', 'gp', 'presiden']","['moga', 'ganjar', 'pranowo', 'dan', 'mahfud', 'md', 'dapat', 'bawa', 'semangat', 'sama', 'ke', 'dalam', 'bijak', 'nasional', 'bilamuktadin', 'gp', 'presiden']",moga ganjar pranowo dan mahfud md dapat bawa semangat sama ke dalam bijak nasional bilamuktadin gp presiden,"['moga', 'ganjar', 'pranowo', 'dan', 'mahfud', 'md', 'dapat', 'bawa', 'semangat', 'sama', 'ke', 'dalam', 'bijak', 'nasional', 'bilamuktadin', 'gp', 'presiden']","['moga', 'ganjar', 'pranowo', 'dan', 'mahfud', 'md', 'dapat', 'bawa', 'semangat', 'sama', 'ke', 'dalam', 'bijak', 'nasional', 'bilamuktadin', 'gp', 'presiden']","['moga', 'ganjar', 'pranowo', 'mahfud', 'md', 'bawa', 'semangat', 'bijak', 'nasional', 'bilamuktadin', 'gp', 'presiden']",moga ganjar pranowo mahfud md bawa semangat bijak nasional bilamuktadin gp presiden,May Ganjar Pranowo Mahfud MD bring the spirit of national wisdom Bilamuktadin GP President,positive
5,Fri Dec 15 10:31:35 +0000 2023,1735608536552679936,Insana NTT rapatkan barisan dukung Ganjar-Mahfud  #SahabatGanjar #GanjarPranowo #Ganjar #MenangkanGanjar #GenerasiGotongRoyong https://t.co/bLVhkZktCp,0,0,1,1,in,1566295200846070016,1735608536552679936,GanjarPranowoo,https://twitter.com/GanjarPranowoo/status/1735608536552689827,Insana NTT rapatkan barisan dukung Ganjar Mahfud,Insana NTT rapatkan barisan dukung Ganjar Mahfud,insana ntt rapatkan barisan dukung ganjar mahfud,"['insana', 'ntt', 'rapatkan', 'barisan', 'dukung', 'ganjar', 'mahfud']","['insana', 'ntt', 'rapat', 'baris', 'dukung', 'ganjar', 'mahfud']",insana ntt rapat baris dukung ganjar mahfud,"['insana', 'ntt', 'rapat', 'baris', 'dukung', 'ganjar', 'mahfud']","['insana', 'ntt', 'rapat', 'baris', 'dukung', 'ganjar', 'mahfud']","['insana', 'ntt', 'rapat', 'baris', 'dukung', 'ganjar', 'mahfud']",insana ntt rapat baris dukung ganjar mahfud,Insana NTT meets to support Ganjar Mahfud,positive
6,Fri Dec 15 10:31:34 +0000 2023,1735608529426480128,Sukses untuk Mas Ganjar Pranowo dan Pak Mahfud MD. Semoga kepemimpinan mereka membawa Indonesia ke puncak kejayaan. @TaufikH28_  GP 4Presiden https://t.co/XfxMQTuWuY,0,0,0,0,in,1689533591473289984,1735608529426480128,AjiRama48_,https://twitter.com/AjiRama48_/status/1735608529426481483,Sukses untuk Mas Ganjar Pranowo dan Pak Mahfud MD  Semoga kepemimpinan mereka membawa Indonesia ke puncak kejayaan TaufikH GP  Presiden,Sukses untuk Mas Ganjar Pranowo dan Pak Mahfud MD  Semoga kepemimpinan mereka membawa Indonesia ke puncak kejayaan   TaufikH    GP  Presiden,sukses untuk mas ganjar pranowo dan pak mahfud md  semoga kepemimpinan mereka membawa indonesia ke puncak kejayaan taufikh gp  presiden,"['sukses', 'untuk', 'mas', 'ganjar', 'pranowo', 'dan', 'pak', 'mahfud', 'md', 'semoga', 'kepemimpinan', 'mereka', 'membawa', 'indonesia', 'ke', 'puncak', 'kejayaan', 'taufikh', 'gp', 'presiden']","['sukses', 'untuk', 'mas', 'ganjar', 'pranowo', 'dan', 'pak', 'mahfud', 'md', 'moga', 'pimpin', 'mereka', 'bawa', 'indonesia', 'ke', 'puncak', 'jaya', 'taufikh', 'gp', 'presiden']",sukses untuk mas ganjar pranowo dan pak mahfud md moga pimpin mereka bawa indonesia ke puncak jaya taufikh gp presiden,"['sukses', 'untuk', 'mas', 'ganjar', 'pranowo', 'dan', 'pak', 'mahfud', 'md', 'moga', 'pimpin', 'mereka', 'bawa', 'indonesia', 'ke', 'puncak', 'jaya', 'taufikh', 'gp', 'presiden']","['sukses', 'untuk', 'mas', 'ganjar', 'pranowo', 'dan', 'pak', 'mahfud', 'md', 'moga', 'pimpin', 'mereka', 'bawa', 'indonesia', 'ke', 'puncak', 'jaya', 'taufikh', 'gp', 'presiden']","['sukses', 'mas', 'ganjar', 'pranowo', 'mahfud', 'md', 'moga', 'pimpin', 'bawa', 'indonesia', 'puncak', 'jaya', 'taufikh', 'gp', 'presiden']",sukses mas ganjar pranowo mahfud md moga pimpin bawa indonesia puncak jaya taufikh gp presiden,"Good luck, Mas Ganjar Pranowo Mahfud MD, may you lead to bring Indonesia to the peak of glory Taufikh GP President",positive
7,Fri Dec 15 10:31:33 +0000 2023,1735608528285600000,Sukses selalu untuk Mas Ganjar Pranowo dan Pak Mahfud MD! Mereka adalah tim yang berpotensi membawa kemajuan besar untuk Jatim. @stvrlight09  GP 4Presiden https://t.co/xYsz7Dr3Bu,0,0,0,0,in,1695085751862789888,1735608528285600000,shivacheziiy,https://twitter.com/shivacheziiy/status/1735608528285602101,Sukses selalu untuk Mas Ganjar Pranowo dan Pak Mahfud MD  Mereka adalah tim yang berpotensi membawa kemajuan besar untuk Jatim stvrlight GP  Presiden,Sukses selalu untuk Mas Ganjar Pranowo dan Pak Mahfud MD  Mereka adalah tim yang berpotensi membawa kemajuan besar untuk Jatim   stvrlight   GP  Presiden,sukses selalu untuk mas ganjar pranowo dan pak mahfud md  mereka adalah tim yang berpotensi membawa kemajuan besar untuk jatim stvrlight gp  presiden,"['sukses', 'selalu', 'untuk', 'mas', 'ganjar', 'pranowo', 'dan', 'pak', 'mahfud', 'md', 'mereka', 'adalah', 'tim', 'yang', 'berpotensi', 'membawa', 'kemajuan', 'besar', 'untuk', 'jatim', 'stvrlight', 'gp', 'presiden']","['sukses', 'selalu', 'untuk', 'mas', 'ganjar', 'pranowo', 'dan', 'pak', 'mahfud', 'md', 'mereka', 'adalah', 'tim', 'yang', 'potensi', 'bawa', 'maju', 'besar', 'untuk', 'jatim', 'stvrlight', 'gp', 'presiden']",sukses selalu untuk mas ganjar pranowo dan pak mahfud md mereka adalah tim yang potensi bawa maju besar untuk jatim stvrlight gp presiden,"['sukses', 'selalu', 'untuk', 'mas', 'ganjar', 'pranowo', 'dan', 'pak', 'mahfud', 'md', 'mereka', 'adalah', 'tim', 'yang', 'potensi', 'bawa', 'maju', 'besar', 'untuk', 'jatim', 'stvrlight', 'gp', 'presiden']","['sukses', 'selalu', 'untuk', 'mas', 'ganjar', 'pranowo', 'dan', 'pak', 'mahfud', 'md', 'mereka', 'adalah', 'tim', 'yang', 'potensi', 'bawa', 'maju', 'besar', 'untuk', 'jatim', 'stvrlight', 'gp', 'presiden']","['sukses', 'mas', 'ganjar', 'pranowo', 'mahfud', 'md', 'tim', 'potensi', 'bawa', 'maju', 'jatim', 'stvrlight', 'gp', 'presiden']",sukses mas ganjar pranowo mahfud md tim potensi bawa maju jatim stvrlight gp presiden,"success, Mas Ganjar Pranowo Mahfud MD, the team has the potential to bring East Java forward, Stvrlight GP President",positive
8,Fri Dec 15 10:31:33 +0000 2023,1735608525517469952,"@Prihati_utami Wah, tambah tua nih! Selamat ulang tahun, bro Alam Ganjar! Semoga makin jadi pribadi yang keren!",0,0,0,0,in,1394700610851589888,1735492753239490048,ihgajels,https://twitter.com/ihgajels/status/1735608525517475932,Prihati utami Wah  tambah tua nih  Selamat ulang tahun  bro Alam Ganjar  Semoga makin jadi pribadi yang keren,Prihati utami Wah  tambah tua nih  Selamat ulang tahun  bro Alam Ganjar  Semoga makin jadi pribadi yang keren,prihati utami wah  tambah tua nih  selamat ulang tahun  bro alam ganjar  semoga makin jadi pribadi yang keren,"['prihati', 'utami', 'wah', 'tambah', 'tua', 'nih', 'selamat', 'ulang', 'tahun', 'bro', 'alam', 'ganjar', 'semoga', 'makin', 'jadi', 'pribadi', 'yang', 'keren']","['prihati', 'utami', 'wah', 'tambah', 'tua', 'nih', 'selamat', 'ulang', 'tahun', 'bro', 'alam', 'ganjar', 'moga', 'makin', 'jadi', 'pribadi', 'yang', 'keren']",prihati utami wah tambah tua nih selamat ulang tahun bro alam ganjar moga makin jadi pribadi yang keren,"['prihati', 'utami', 'wah', 'tambah', 'tua', 'nih', 'selamat', 'ulang', 'tahun', 'bro', 'alam', 'ganjar', 'moga', 'makin', 'jadi', 'pribadi', 'yang', 'keren']","['prihati', 'utami', 'wah', 'tambah', 'tua', 'ini', 'selamat', 'ulang', 'tahun', 'saudara laki laki', 'alam', 'ganjar', 'moga', 'makin', 'jadi', 'pribadi', 'yang', 'bagus']","['prihati', 'utami', 'tua', 'selamat', 'ulang', 'saudara laki laki', 'alam', 'ganjar', 'moga', 'pribadi', 'bagus']",prihati utami tua selamat ulang saudara laki laki alam ganjar moga pribadi bagus,"Concerned for old Utami, happy birthday, Alam Ganjar's brother, I hope you have a good personal life",positive
9,Fri Dec 15 10:31:32 +0000 2023,1735608520689779968,Suksesnya Ganjar Pranowo dalam bercanda membuktikan bahwa pemimpin yang ceria juga mampu membuat keputusan bijak. @baiqemi72  GP 4Presiden https://t.co/FhjzDyw9HF,0,0,0,0,in,1688091444194710016,1735608520689779968,hilmanputr80122,https://twitter.com/hilmanputr80122/status/1735608520689787203,Suksesnya Ganjar Pranowo dalam bercanda membuktikan bahwa pemimpin yang ceria juga mampu membuat keputusan bijak baiqemi GP  Presiden,Suksesnya Ganjar Pranowo dalam bercanda membuktikan bahwa pemimpin yang ceria juga mampu membuat keputusan bijak   baiqemi   GP  Presiden,suksesnya ganjar pranowo dalam bercanda membuktikan bahwa pemimpin yang ceria juga mampu membuat keputusan bijak baiqemi gp  presiden,"['suksesnya', 'ganjar', 'pranowo', 'dalam', 'bercanda', 'membuktikan', 'bahwa', 'pemimpin', 'yang', 'ceria', 'juga', 'mampu', 'membuat', 'keputusan', 'bijak', 'baiqemi', 'gp', 'presiden']","['sukses', 'ganjar', 'pranowo', 'dalam', 'canda', 'bukti', 'bahwa', 'pimpin', 'yang', 'ceria', 'juga', 'mampu', 'buat', 'putus', 'bijak', 'baiqemi', 'gp', 'presiden']",sukses ganjar pranowo dalam canda bukti bahwa pimpin yang ceria juga mampu buat putus bijak baiqemi gp presiden,"['sukses', 'ganjar', 'pranowo', 'dalam', 'canda', 'bukti', 'bahwa', 'pimpin', 'yang', 'ceria', 'juga', 'mampu', 'buat', 'putus', 'bijak', 'baiqemi', 'gp', 'presiden']","['sukses', 'ganjar', 'pranowo', 'dalam', 'canda', 'bukti', 'bahwa', 'pimpin', 'yang', 'ceria', 'juga', 'mampu', 'buat', 'putus', 'bijak', 'baiqemi', 'gp', 'presiden']","['sukses', 'ganjar', 'pranowo', 'canda', 'bukti', 'pimpin', 'ceria', 'putus', 'bijak', 'baiqemi', 'gp', 'presiden']",sukses ganjar pranowo canda bukti pimpin ceria putus bijak baiqemi gp presiden,successful reward Pranowo joking proof of cheerful leadership and wise decision baiqemi gp president,positive
