Unnamed: 0,created_at,id_str,full_text,quote_count,reply_count,retweet_count,favorite_count,lang,user_id_str,conversation_id_str,username,tweet_url,cleansing,remove_emojis,case_folding,tokenizing,stemming_list,stemming,negation,formalization,stopword_list,stopword_removal,english_comment,vader_sentiment
8,Fri Dec 15 04:10:32 +0000 2023,1735512641987375117,"Emang parah dan menjijikan sih pembunuhan karakter dan pelecehan personal Anies ke Prabowo saat debat kemaren. Pak GP aja mo nanya masalah ham pakai kata halus dan minta maaf dulu seblmnya, makanya Prabowo gak serang balik ke GP😏",0,0,0,0,in,37132359,1735512641987375117,OliviaCath1540,https://twitter.com/OliviaCath1540/status/1735512641987375117,Emang parah dan menjijikan sih pembunuhan karakter dan pelecehan personal Anies ke Prabowo saat debat kemaren  Pak GP aja mo nanya masalah ham pakai kata halus dan minta maaf dulu seblmnya  makanya Prabowo gak serang balik ke GP,Emang parah dan menjijikan sih pembunuhan karakter dan pelecehan personal Anies ke Prabowo saat debat kemaren  Pak GP aja mo nanya masalah ham pakai kata halus dan minta maaf dulu seblmnya  makanya Prabowo gak serang balik ke GP,emang parah dan menjijikan sih pembunuhan karakter dan pelecehan personal anies ke prabowo saat debat kemaren  pak gp aja mo nanya masalah ham pakai kata halus dan minta maaf dulu seblmnya  makanya prabowo gak serang balik ke gp,"['emang', 'parah', 'dan', 'menjijikan', 'sih', 'pembunuhan', 'karakter', 'dan', 'pelecehan', 'personal', 'anies', 'ke', 'prabowo', 'saat', 'debat', 'kemaren', 'pak', 'gp', 'aja', 'mo', 'nanya', 'masalah', 'ham', 'pakai', 'kata', 'halus', 'dan', 'minta', 'maaf', 'dulu', 'seblmnya', 'makanya', 'prabowo', 'gak', 'serang', 'balik', 'ke', 'gp']","['emang', 'parah', 'dan', 'jijik', 'sih', 'bunuh', 'karakter', 'dan', 'leceh', 'personal', 'anies', 'ke', 'prabowo', 'saat', 'debat', 'kemaren', 'pak', 'gp', 'aja', 'mo', 'nanya', 'masalah', 'ham', 'pakai', 'kata', 'halus', 'dan', 'minta', 'maaf', 'dulu', 'seblmnya', 'makanya', 'prabowo', 'gak', 'serang', 'balik', 'ke', 'gp']",emang parah dan jijik sih bunuh karakter dan leceh personal anies ke prabowo saat debat kemaren pak gp aja mo nanya masalah ham pakai kata halus dan minta maaf dulu seblmnya makanya prabowo gak serang balik ke gp,"['emang', 'parah', 'dan', 'jijik', 'sih', 'bunuh', 'karakter', 'dan', 'leceh', 'personal', 'anies', 'ke', 'prabowo', 'saat', 'debat', 'kemaren', 'pak', 'gp', 'aja', 'mo', 'nanya', 'masalah', 'ham', 'pakai', 'kata', 'halus', 'dan', 'minta', 'maaf', 'dulu', 'seblmnya', 'makanya', 'prabowo', 'tidak_serang', 'balik', 'ke', 'gp']","['emang', 'parah', 'dan', 'jijik', 'sih', 'bunuh', 'karakter', 'dan', 'leceh', 'personal', 'anies', 'ke', 'prabowo', 'saat', 'debat', 'kemarin', 'pak', 'gp', 'saja', 'mau', 'bertanya', 'masalah', 'ham', 'pakai', 'kata', 'halus', 'dan', 'minta', 'maaf', 'dulu', 'seblmnya', 'makanya', 'prabowo', 'tidak_serang', 'balik', 'ke', 'gp']","['emang', 'parah', 'jijik', 'sih', 'bunuh', 'karakter', 'leceh', 'personal', 'anies', 'prabowo', 'debat', 'kemarin', 'gp', 'ham', 'pakai', 'halus', 'maaf', 'seblmnya', 'prabowo', 'tidak', 'serang', 'gp']",emang parah jijik sih bunuh karakter leceh personal anies prabowo debat kemarin gp ham pakai halus maaf seblmnya prabowo tidak serang gp,"It's really really disgusting to kill a character, personal abuse, Anies Prabowo, yesterday's debate, GP, ham, use softness, sorry, Prabowo didn't attack GP earlier.",negative
16,Fri Dec 15 04:10:23 +0000 2023,1735512602468651127,"@erickthohir @prabowo Abis APBN buat kampanye mulu,tohir emang bangke",0,0,0,0,in,1535911464,1735151788964422121,ErwinRockerkids,https://twitter.com/ErwinRockerkids/status/1735512602468651127,erickthohir  prabowo Abis APBN buat kampanye mulu tohir emang bangke,erickthohir  prabowo Abis APBN buat kampanye mulu tohir emang bangke,erickthohir  prabowo abis apbn buat kampanye mulu tohir emang bangke,"['erickthohir', 'prabowo', 'abis', 'apbn', 'buat', 'kampanye', 'mulu', 'tohir', 'emang', 'bangke']","['erickthohir', 'prabowo', 'abis', 'apbn', 'buat', 'kampanye', 'mulu', 'tohir', 'emang', 'bangke']",erickthohir prabowo abis apbn buat kampanye mulu tohir emang bangke,"['erickthohir', 'prabowo', 'abis', 'apbn', 'buat', 'kampanye', 'mulu', 'tohir', 'emang', 'bangke']","['erickthohir', 'prabowo', 'habis', 'apbn', 'buat', 'kampanye', 'melulu', 'tohir', 'emang', 'bangkai']","['erickthohir', 'prabowo', 'habis', 'apbn', 'kampanye', 'melulu', 'tohir', 'emang', 'bangkai']",erickthohir prabowo habis apbn kampanye melulu tohir emang bangkai,Erickthohir Prabowo finished his campaign budget and it was just a wreck,negative
32,Fri Dec 15 04:10:02 +0000 2023,1735512515650691319,@onang_kea @meipri @PartaiSocmed @Partono_ADjem @prabowo Achb itu hoaxxx asap disingapura ya asap ktp orchad road..,0,0,0,0,in,211106650,1735247636251414572,affandiasry,https://twitter.com/affandiasry/status/1735512515650691319,onang kea  meipri  PartaiSocmed  Partono ADjem  prabowo Achb itu hoax asap disingapura ya asap ktp orchad road,onang kea  meipri  PartaiSocmed  Partono ADjem  prabowo Achb itu hoaxxx asap disingapura ya asap ktp orchad road,onang kea  meipri  partaisocmed  partono adjem  prabowo achb itu hoax asap disingapura ya asap ktp orchad road,"['onang', 'kea', 'meipri', 'partaisocmed', 'partono', 'adjem', 'prabowo', 'achb', 'itu', 'hoax', 'asap', 'disingapura', 'ya', 'asap', 'ktp', 'orchad', 'road']","['onang', 'kea', 'meipri', 'partaisocmed', 'partono', 'adjem', 'prabowo', 'achb', 'itu', 'hoax', 'asap', 'disingapura', 'ya', 'asap', 'ktp', 'orchad', 'road']",onang kea meipri partaisocmed partono adjem prabowo achb itu hoax asap disingapura ya asap ktp orchad road,"['onang', 'kea', 'meipri', 'partaisocmed', 'partono', 'adjem', 'prabowo', 'achb', 'itu', 'hoax', 'asap', 'disingapura', 'ya', 'asap', 'ktp', 'orchad', 'road']","['onang', 'kea', 'meipri', 'partaisocmed', 'partono', 'adjem', 'prabowo', 'achb', 'itu', 'isu bohong', 'sesegera mungkin', 'disingapura', 'iya', 'sesegera mungkin', 'ktp', 'orchad', 'road']","['onang', 'kea', 'meipri', 'partaisocmed', 'partono', 'adjem', 'prabowo', 'achb', 'isu bohong', 'sesegera mungkin', 'disingapura', 'iya', 'sesegera mungkin', 'ktp', 'orchad', 'road']",onang kea meipri partaisocmed partono adjem prabowo achb isu bohong sesegera mungkin disingapura iya sesegera mungkin ktp orchad road,onang kea meipri partysocmed partono adjem prabowo achb fake issue as soon as possible in Singapore yes as soon as possible KTP Orchad Road,negative
45,Fri Dec 15 04:09:46 +0000 2023,1735512447472033958,"@MichelAdam7__ @dhemith_01 Pak Prabowo menjulurkan lidahnya itu bukan editan GemoyGebrakan monyet""""",0,0,0,0,in,1727048834075783168,1735508842526699692,Harjomulyo1738,https://twitter.com/Harjomulyo1738/status/1735512447472033958,MichelAdam dhemith Pak Prabowo menjulurkan lidahnya itu bukan editan GemoyGebrakan monyet,MichelAdam     dhemith   Pak Prabowo menjulurkan lidahnya itu bukan editan GemoyGebrakan monyet,micheladam dhemith pak prabowo menjulurkan lidahnya itu bukan editan gemoygebrakan monyet,"['micheladam', 'dhemith', 'pak', 'prabowo', 'menjulurkan', 'lidahnya', 'itu', 'bukan', 'editan', 'gemoygebrakan', 'monyet']","['micheladam', 'dhemith', 'pak', 'prabowo', 'julur', 'lidah', 'itu', 'bukan', 'edit', 'gemoygebrakan', 'monyet']",micheladam dhemith pak prabowo julur lidah itu bukan edit gemoygebrakan monyet,"['micheladam', 'dhemith', 'pak', 'prabowo', 'julur', 'lidah', 'itu', 'tidak_edit', 'gemoygebrakan', 'monyet']","['micheladam', 'dhemith', 'pak', 'prabowo', 'julur', 'lidah', 'itu', 'tidak_edit', 'gemoygebrakan', 'monyet']","['micheladam', 'dhemith', 'prabowo', 'julur', 'lidah', 'tidak', 'edit', 'gemoygebrakan', 'monyet']",micheladam dhemith prabowo julur lidah tidak edit gemoygebrakan monyet,michel adam smith prabowo sticks out his tongue without editing the cool monkey buzz,negative
46,Fri Dec 15 04:09:45 +0000 2023,1735512443156398555,"@yuliaaanidiya_ Prabowo-Gibran bukan cuma pasangan, tapi solusi buat pemilih bimbang! dekade08",0,0,0,0,in,1491405809468973058,1735471222564208968,SintaMlni12,https://twitter.com/SintaMlni12/status/1735512443156398555,yulianidiya  Prabowo Gibran bukan cuma pasangan  tapi solusi buat pemilih bimbang  dekade,yuliaaanidiya  Prabowo Gibran bukan cuma pasangan  tapi solusi buat pemilih bimbang  dekade,yulianidiya  prabowo gibran bukan cuma pasangan  tapi solusi buat pemilih bimbang  dekade,"['yulianidiya', 'prabowo', 'gibran', 'bukan', 'cuma', 'pasangan', 'tapi', 'solusi', 'buat', 'pemilih', 'bimbang', 'dekade']","['yulianidiya', 'prabowo', 'gibran', 'bukan', 'cuma', 'pasang', 'tapi', 'solusi', 'buat', 'pilih', 'bimbang', 'dekade']",yulianidiya prabowo gibran bukan cuma pasang tapi solusi buat pilih bimbang dekade,"['yulianidiya', 'prabowo', 'gibran', 'tidak_cuma', 'pasang', 'tapi', 'solusi', 'buat', 'pilih', 'bimbang', 'dekade']","['yulianidiya', 'prabowo', 'gibran', 'tidak_cuma', 'pasang', 'tapi', 'solusi', 'buat', 'pilih', 'bimbang', 'dekade']","['yulianidiya', 'prabowo', 'gibran', 'tidak', 'cuma', 'pasang', 'solusi', 'pilih', 'bimbang', 'dekade']",yulianidiya prabowo gibran tidak cuma pasang solusi pilih bimbang dekade,Yulianidiya Prabowo Gibran didn't just put up a solution to choose a decade of doubt,negative
47,Fri Dec 15 04:09:39 +0000 2023,1735512417852166337,"@dennyindrayana Cemberut pak SBY, kyk malesss. Kmrn wktu bareng sama pak Prabowo di gunung tidar, keliatan sumringah dan bersemangat bgt.  Awokkwokkwokk",0,0,0,0,in,981840438,1735491265767371015,gajahmadabiru,https://twitter.com/gajahmadabiru/status/1735512417852166337,dennyindrayana Cemberut pak SBY  kyk males  Kmrn wktu bareng sama pak Prabowo di gunung tidar  keliatan sumringah dan bersemangat bgt Awokkwokkwokk,dennyindrayana Cemberut pak SBY  kyk malesss  Kmrn wktu bareng sama pak Prabowo di gunung tidar  keliatan sumringah dan bersemangat bgt   Awokkwokkwokk,dennyindrayana cemberut pak sby  kyk males  kmrn wktu bareng sama pak prabowo di gunung tidar  keliatan sumringah dan bersemangat bgt awokkwokkwokk,"['dennyindrayana', 'cemberut', 'pak', 'sby', 'kyk', 'males', 'kmrn', 'wktu', 'bareng', 'sama', 'pak', 'prabowo', 'di', 'gunung', 'tidar', 'keliatan', 'sumringah', 'dan', 'bersemangat', 'bgt', 'awokkwokkwokk']","['dennyindrayana', 'cemberut', 'pak', 'sby', 'kyk', 'males', 'kmrn', 'wktu', 'bareng', 'sama', 'pak', 'prabowo', 'di', 'gunung', 'tidar', 'liat', 'sumringah', 'dan', 'semangat', 'bgt', 'awokkwokkwokk']",dennyindrayana cemberut pak sby kyk males kmrn wktu bareng sama pak prabowo di gunung tidar liat sumringah dan semangat bgt awokkwokkwokk,"['dennyindrayana', 'cemberut', 'pak', 'sby', 'kyk', 'males', 'kmrn', 'wktu', 'bareng', 'sama', 'pak', 'prabowo', 'di', 'gunung', 'tidar', 'liat', 'sumringah', 'dan', 'semangat', 'bgt', 'awokkwokkwokk']","['dennyindrayana', 'cemberut', 'pak', 'sby', 'seperti', 'males', 'kemarin', 'waktu', 'bareng', 'sama', 'pak', 'prabowo', 'di', 'gunung', 'tidar', 'lihat', 'sumringah', 'dan', 'semangat', 'banget', 'awokkwokkwokk']","['dennyindrayana', 'cemberut', 'sby', 'males', 'kemarin', 'bareng', 'prabowo', 'gunung', 'tidar', 'lihat', 'sumringah', 'semangat', 'banget', 'awokkwokkwokk']",dennyindrayana cemberut sby males kemarin bareng prabowo gunung tidar lihat sumringah semangat banget awokkwokkwokk,dennyindrayana pouted sby lazy yesterday with prabowo Gunung didn't see him happy really excited awokkwokkwokk,negative
52,Fri Dec 15 04:09:34 +0000 2023,1735512395832009098,"@Chaves1305 Prabowo gak usah ikutan debat lah, ikutan cerdas cermat aja",0,0,0,0,in,2920816987,1735313950743712216,Mohjamal27,https://twitter.com/Mohjamal27/status/1735512395832009098,Chaves  Prabowo gak usah ikutan debat lah  ikutan cerdas cermat aja,Chaves  Prabowo gak usah ikutan debat lah  ikutan cerdas cermat aja,chaves  prabowo gak usah ikutan debat lah  ikutan cerdas cermat aja,"['chaves', 'prabowo', 'gak', 'usah', 'ikutan', 'debat', 'lah', 'ikutan', 'cerdas', 'cermat', 'aja']","['chaves', 'prabowo', 'gak', 'usah', 'ikut', 'debat', 'lah', 'ikut', 'cerdas', 'cermat', 'aja']",chaves prabowo gak usah ikut debat lah ikut cerdas cermat aja,"['chaves', 'prabowo', 'tidak_usah', 'ikut', 'debat', 'lah', 'ikut', 'cerdas', 'cermat', 'aja']","['chaves', 'prabowo', 'tidak_perlu', 'ikut', 'debat', 'lah', 'ikut', 'cerdas', 'cermat', 'saja']","['chaves', 'prabowo', 'tidak', 'perlu', 'debat', 'cerdas', 'cermat']",chaves prabowo tidak perlu debat cerdas cermat,Chaves Prabowo doesn't need intelligent debate,negative
54,Fri Dec 15 04:09:29 +0000 2023,1735512374768283987,"kalau ini mah bukan bagi - bagi bansos namanya pak, tapi kampanye disponsori negera  Gacoan | Anies Daesang | olivia | gempa | Adidas | Dana | Ahok | BATTER UP 100M VIEWS | Molly | Ginting | pilihan terbaik | Kela | Prabowo https://t.co/KDUdy0NMGp",1,0,1,2,in,1620324508317138944,1735512374768283987,MacanAsiaGagal,https://twitter.com/MacanAsiaGagal/status/1735512374768283987,kalau ini mah bukan bagi bagi bansos namanya pak  tapi kampanye disponsori negera  Gacoan Anies Daesang olivia gempa Adidas Dana Ahok BATTER UP VIEWS Molly Ginting pilihan terbaik Kela Prabowo,kalau ini mah bukan bagi   bagi bansos namanya pak  tapi kampanye disponsori negera  Gacoan   Anies Daesang   olivia   gempa   Adidas   Dana   Ahok   BATTER UP    VIEWS   Molly   Ginting   pilihan terbaik   Kela   Prabowo,kalau ini mah bukan bagi bagi bansos namanya pak  tapi kampanye disponsori negera  gacoan anies daesang olivia gempa adidas dana ahok batter up views molly ginting pilihan terbaik kela prabowo,"['kalau', 'ini', 'mah', 'bukan', 'bagi', 'bagi', 'bansos', 'namanya', 'pak', 'tapi', 'kampanye', 'disponsori', 'negera', 'gacoan', 'anies', 'daesang', 'olivia', 'gempa', 'adidas', 'dana', 'ahok', 'batter', 'up', 'views', 'molly', 'ginting', 'pilihan', 'terbaik', 'kela', 'prabowo']","['kalau', 'ini', 'mah', 'bukan', 'bagi', 'bagi', 'bansos', 'nama', 'pak', 'tapi', 'kampanye', 'sponsor', 'negera', 'gaco', 'anies', 'daesang', 'olivia', 'gempa', 'adidas', 'dana', 'ahok', 'batter', 'up', 'views', 'molly', 'ginting', 'pilih', 'baik', 'kela', 'prabowo']",kalau ini mah bukan bagi bagi bansos nama pak tapi kampanye sponsor negera gaco anies daesang olivia gempa adidas dana ahok batter up views molly ginting pilih baik kela prabowo,"['kalau', 'ini', 'mah', 'tidak_bagi', 'bagi', 'bansos', 'nama', 'pak', 'tapi', 'kampanye', 'sponsor', 'negera', 'gaco', 'anies', 'daesang', 'olivia', 'gempa', 'adidas', 'dana', 'ahok', 'batter', 'up', 'views', 'molly', 'ginting', 'pilih', 'baik', 'kela', 'prabowo']","['kalau', 'ini', 'mah', 'tidak_bagi', 'bagi', 'bansos', 'nama', 'pak', 'tapi', 'kampanye', 'sponsor', 'negera', 'gaco', 'anies', 'daesang', 'olivia', 'gempa', 'adidas', 'dana', 'ahok', 'batter', 'up', 'views', 'molly', 'ginting', 'pilih', 'baik', 'kela', 'prabowo']","['mah', 'tidak', 'bagi', 'bansos', 'nama', 'kampanye', 'sponsor', 'negera', 'gaco', 'anies', 'daesang', 'olivia', 'gempa', 'adidas', 'dana', 'ahok', 'batter', 'up', 'views', 'molly', 'ginting', 'pilih', 'kela', 'prabowo']",mah tidak bagi bansos nama kampanye sponsor negera gaco anies daesang olivia gempa adidas dana ahok batter up views molly ginting pilih kela prabowo,mah no for social assistance campaign name state sponsor Gaco anies daesang olivia earthquake adidas fund ahok batter up views molly ginting vote kela prabowo,negative
55,Fri Dec 15 04:09:28 +0000 2023,1735512373778432246,@tvOneNews Heuheu . Nyerang Prabowo pake kata oposisi tapi 2partai di koalisi masih di pemerintahan. Oposisi ndasmu broo,0,0,0,0,in,2915742913,1735360044441698385,bolink24,https://twitter.com/bolink24/status/1735512373778432246,tvOneNews Heuheu Nyerang Prabowo pake kata oposisi tapi  partai di koalisi masih di pemerintahan  Oposisi ndasmu broo,tvOneNews Heuheu   Nyerang Prabowo pake kata oposisi tapi  partai di koalisi masih di pemerintahan  Oposisi ndasmu broo,tvonenews heuheu nyerang prabowo pake kata oposisi tapi  partai di koalisi masih di pemerintahan  oposisi ndasmu broo,"['tvonenews', 'heuheu', 'nyerang', 'prabowo', 'pake', 'kata', 'oposisi', 'tapi', 'partai', 'di', 'koalisi', 'masih', 'di', 'pemerintahan', 'oposisi', 'ndasmu', 'broo']","['tvonenews', 'heuheu', 'nyerang', 'prabowo', 'pake', 'kata', 'oposisi', 'tapi', 'partai', 'di', 'koalisi', 'masih', 'di', 'perintah', 'oposisi', 'ndasmu', 'broo']",tvonenews heuheu nyerang prabowo pake kata oposisi tapi partai di koalisi masih di perintah oposisi ndasmu broo,"['tvonenews', 'heuheu', 'nyerang', 'prabowo', 'pake', 'kata', 'oposisi', 'tapi', 'partai', 'di', 'koalisi', 'masih', 'di', 'perintah', 'oposisi', 'ndasmu', 'broo']","['tvonenews', 'heuheu', 'serang', 'prabowo', 'pakai', 'kata', 'oposisi', 'tapi', 'partai', 'di', 'koalisi', 'masih', 'di', 'perintah', 'oposisi', 'ndasmu', 'broo']","['tvonenews', 'heuheu', 'serang', 'prabowo', 'pakai', 'oposisi', 'partai', 'koalisi', 'perintah', 'oposisi', 'ndasmu', 'broo']",tvonenews heuheu serang prabowo pakai oposisi partai koalisi perintah oposisi ndasmu broo,tvonenews heuheu attacks Prabowo using the opposition coalition party orders from the opposition Ndasmu broo,negative
57,Fri Dec 15 04:09:27 +0000 2023,1735512368640352525,"@andre_rosiade Emang capres goblok Prabowo ini, tinggal jawab aja dia mau nyelesaikan apa engga @BintangAryagun2  Menolak Lupa",0,0,0,0,in,1712720681740488704,1734021717570515234,akbarhLandi,https://twitter.com/akbarhLandi/status/1735512368640352525,andre rosiade Emang capres goblok Prabowo ini  tinggal jawab aja dia mau nyelesaikan apa engga  BintangAryagun Menolak Lupa,andre rosiade Emang capres goblok Prabowo ini  tinggal jawab aja dia mau nyelesaikan apa engga  BintangAryagun   Menolak Lupa,andre rosiade emang capres goblok prabowo ini  tinggal jawab aja dia mau nyelesaikan apa engga  bintangaryagun menolak lupa,"['andre', 'rosiade', 'emang', 'capres', 'goblok', 'prabowo', 'ini', 'tinggal', 'jawab', 'aja', 'dia', 'mau', 'nyelesaikan', 'apa', 'engga', 'bintangaryagun', 'menolak', 'lupa']","['andre', 'rosiade', 'emang', 'capres', 'goblok', 'prabowo', 'ini', 'tinggal', 'jawab', 'aja', 'dia', 'mau', 'nyelesaikan', 'apa', 'engga', 'bintangaryagun', 'tolak', 'lupa']",andre rosiade emang capres goblok prabowo ini tinggal jawab aja dia mau nyelesaikan apa engga bintangaryagun tolak lupa,"['andre', 'rosiade', 'emang', 'capres', 'goblok', 'prabowo', 'ini', 'tinggal', 'jawab', 'aja', 'dia', 'mau', 'nyelesaikan', 'apa', 'engga', 'bintangaryagun', 'tolak', 'lupa']","['andre', 'rosiade', 'emang', 'capres', 'bodoh', 'prabowo', 'ini', 'tinggal', 'jawab', 'saja', 'dia', 'mau', 'nyelesaikan', 'apa', 'engga', 'bintangaryagun', 'tolak', 'lupa']","['andre', 'rosiade', 'emang', 'capres', 'bodoh', 'prabowo', 'tinggal', 'nyelesaikan', 'engga', 'bintangaryagun', 'tolak', 'lupa']",andre rosiade emang capres bodoh prabowo tinggal nyelesaikan engga bintangaryagun tolak lupa,"Andre Rosiade is indeed a stupid presidential candidate, Prabowo just needs to finish, Engga Bintangaryagun refuses to forget",negative
